word,cluster
aaron,150
aat,150
abandon,223
abdomen,196
abduct,44
abduction,44
abductor,198
abhor,51
abide,89
ability,145
abruptness,244
absence,4
absolve,79
absorb,121
absorption,4
abuse,72
accent,149
accept,223
access,121
accessory,138
accident,173
acclimate,75
accommodate,121
accommodation,49
accompany,121
accomplice,198
accomplish,121
accomplishment,104
accost,163
account,252
accusation,21
accuse,31
accuser,21
accusing,31
accustom,192
ace,208
ache,42
achieve,121
achievement,104
acknowledge,81
acquaintance,16
acquire,61
acquisition,61
acquit,21
act,47
acting,4
action,4
activate,121
activity,4
actress,198
ad,151
adam,150
add,121
addiction,42
addition,4
address,83
adhere,89
adjust,75
adler,4
administer,121
admiration,5
admire,51
admit,81
admonish,3
adolescence,213
adopt,121
adore,51
adorn,68
adrenaline,42
adult,4
advance,4
advantage,4
adventure,73
adventurous,127
advertise,83
advertisement,151
advice,47
advise,83
advisor,208
advocate,208
afecte,4
afection,4
affair,199
affect,187
affection,5
afford,121
affront,174
aford,74
afraid,74
afternoon,4
agape,127
age,4
agenda,47
agent,208
aggression,72
aggressive,192
agitate,163
agitation,102
agonize,112
agony,43
agree,39
agreement,91
aicke,4
aid,4
aim,47
ainche,4
aisle,197
alarm,205
album,182
alcohol,100
alcove,197
alert,218
algebra,14
alibi,21
alice,150
alight,129
allergy,224
alley,84
alleyway,84
alliance,91
allow,121
allowance,0
ally,208
alone,4
along,4
aloofness,244
aloud,122
altar,242
alter,187
alternate,4
amah,4
amaze,32
amazement,7
amazing,74
ambition,104
ambivalence,5
amend,223
american,40
ammunition,190
amount,0
amuse,87
amusement,7
amusing,127
analysis,252
analyst,208
analyze,88
ancestor,168
ancestry,168
anger,102
angle,189
angriest,102
angry,192
anguish,43
animation,127
ankle,147
announce,83
annoy,163
annoyance,5
answer,83
antic,244
anticipate,236
anus,66
anxiety,46
anxious,192
apartment,49
apathy,72
ape,232
apologise,98
apologize,11
apology,11
appal,163
appeal,21
appear,39
appearance,73
appetite,42
apple,52
application,252
apply,121
appointment,47
appraisal,252
appraise,88
appreciate,51
appreciation,104
apprentice,208
approach,47
approval,166
approve,223
approximation,127
apron,8
aptitude,116
arch,197
archer,198
arena,233
argue,39
argument,199
arm,196
armband,8
armoire,24
armor,138
armory,233
armpit,196
arouse,87
arrange,121
arrest,21
arrival,73
arrive,73
arrived,73
arse,62
art,233
article,252
articulate,75
artist,182
artwork,53
ascend,221
ascent,56
ash,237
ashamed,11
ask,83
asked,83
asking,38
asleep,130
aspect,47
aspire,51
ass,62
assail,31
assailant,198
assault,44
assemble,121
assert,39
assess,88
assessment,47
asset,61
assign,121
assignment,73
assist,121
assistant,208
associate,208
association,4
assume,39
assumption,47
assurance,47
assure,121
asthma,224
astonish,32
astonishment,7
astound,32
ate,60
atone,19
atrocity,72
attach,189
attachment,189
attack,218
attacker,198
attain,121
attempt,145
attend,222
attendance,222
attendant,198
attention,203
attire,138
attitude,104
attorney,21
attract,146
attraction,233
attractive,127
attribute,39
attune,75
audacity,72
audience,127
audition,103
aunt,16
auntie,22
auricle,4
austine,4
aute,4
authority,47
authorize,223
auttere,4
available,121
avenge,19
avert,78
avoid,229
await,195
awake,130
awaken,163
awakening,42
award,0
aware,81
awareness,104
awe,7
awkward,192
awkwardness,244
awry,192
aﬀord,4
aﬄicte,4
ba,55
baba,150
babble,255
baby,180
babysat,34
back,74
backache,178
background,47
backhand,96
backing,4
backpack,29
backside,196
backtrack,223
backwards,189
bad,74
badger,232
baffle,87
bag,29
baggage,29
baguette,30
bait,232
bake,37
bakehouse,49
balance,4
balcony,197
balk,125
ball,96
balm,127
band,103
bandage,36
bandanna,95
bang,205
banish,78
bank,61
banker,208
bankrupt,61
banquet,181
bao,76
baobei,4
bar,248
barb,253
barbies,62
bare,127
bargain,61
bargaining,91
barge,26
bark,237
barrack,49
barrel,140
barrenness,42
base,4
bask,81
basket,140
bat,140
bath,130
bathe,108
bathroom,49
bathtub,130
batter,52
battery,140
battle,199
bawl,20
be,4
bead,140
beam,197
bear,232
bearing,4
beat,78
beautiful,127
beauty,126
beck,62
beckon,195
become,121
bed,130
bedcover,140
bedding,101
bedmate,130
bedpost,186
bedraggle,4
bedroom,49
bedsheet,215
bedside,130
bedtime,130
beep,205
beer,100
befall,176
before,4
befriend,146
befuddle,87
beg,38
begging,38
begin,222
begrudge,51
behalf,4
behave,163
behavior,72
behaviour,98
behold,127
being,4
belch,108
belief,47
believe,39
believer,208
belittle,174
bell,205
bellow,202
belly,196
belong,74
belonging,4
belt,8
bemoan,112
bemuse,87
bend,189
benefactor,1
benefit,121
beneﬁt,4
beneﬁte,4
bent,189
berate,3
bereavement,242
berth,158
beseech,38
bess,127
best,74
bestow,1
bet,225
betray,163
betrayal,72
betroth,4
betrothal,216
betrothed,216
beverage,100
bewilder,87
bicycle,26
bid,61
bidding,61
bike,26
bikini,90
bikinis,90
bill,252
billfold,57
bind,189
binding,4
biographer,182
birth,180
birthdate,168
birthday,34
birthmark,65
bit,74
bite,60
bitterness,5
black,68
blackberry,150
blackmail,146
bladder,178
blade,123
blame,31
blanch,125
blank,53
blanket,140
blankly,122
blather,255
blazer,50
bleach,108
bleed,108
bleeding,178
blend,127
bless,242
blessing,242
blight,233
blind,127
blindfold,8
blindness,178
blink,127
blister,33
block,4
blog,252
blond,68
blood,178
bloodline,168
bloodstream,161
blossom,117
blotter,252
blouse,50
blow,158
bluf,4
bluff,35
blurt,70
blush,125
bluster,244
boar,232
board,4
boardinghouse,49
boast,81
bob,20
bodice,207
body,196
bodyguard,198
bodysurfe,4
boil,37
boldness,104
bolino,4
bolt,189
bombard,172
bond,61
bone,28
bonesetter,4
bonus,0
book,182
bookcase,24
bookkeeper,34
bookshelf,24
boom,56
boot,140
bore,4
boredom,42
borrow,61
bosom,196
boss,208
bot,150
bother,74
bottle,100
bottom,4
boudoir,207
bounce,56
bound,4
boundary,233
boundless,42
bout,199
bow,189
bowl,52
box,140
boy,16
boyfriend,34
boyish,244
bra,207
brace,189
bracelet,209
brag,112
braid,95
brain,178
branch,233
brand,4
bravado,244
brave,127
brazen,127
break,158
breakfast,181
breaking,4
breakup,238
breast,66
breastbone,196
breaststroke,18
breath,85
breathe,85
breathing,85
brew,100
bribe,99
bride,34
bridegroom,34
brieay,4
brief,252
briefcase,29
briefly,4
brighten,204
brightness,167
brilliance,116
bring,121
bristle,125
british,40
broach,83
broaden,204
broil,37
brokenhearte,4
brood,22
brooding,127
brotgewürz,4
broth,37
brother,16
brow,36
browse,12
bruise,36
brush,140
brushstroke,53
bubble,56
buck,158
bucket,109
buckle,189
bud,237
buddy,16
buffet,181
bug,218
build,121
building,233
