persona,cluster_id,word,weight
0,994,box,0.4880867898464203
0,990,end,0.4799452424049377
0,964,hurt,0.4704729318618774
0,965,pale,0.4601412117481231
0,988,blessing,0.4535630941390991
0,975,breath,0.4082114696502685
0,984,better,0.3001302480697632
0,652,pass,0.2931661605834961
0,686,telling,0.263649582862854
0,874,worries,0.2606164515018463
0,862,consumed,0.2594202160835266
0,896,broke,0.2401135563850402
0,998,coming,0.2357611656188964
0,996,removed,0.2296037077903747
0,972,interest,0.2028934955596923
0,925,stove,0.2027667462825775
0,997,regret,0.200963407754898
0,936,express,0.1988248378038406
0,878,attention,0.1805088520050048
0,945,woman,0.1732822060585022
0,80,cover,0.1720594614744186
0,649,needs,0.1675089299678802
0,301,feel,0.1660577058792114
0,902,picture,0.1643159091472625
0,968,clothing,0.163840115070343
0,851,admitted,0.1617966443300247
0,632,clear,0.1591351181268692
0,955,cleared,0.152519017457962
0,405,mask,0.1512870043516159
0,957,holster,0.148995503783226
0,881,back,0.1477027535438537
0,738,hung,0.147666722536087
0,954,skills,0.1446691453456878
0,525,misses,0.1427103579044342
0,928,point,0.1400082260370254
0,871,claim,0.1398777961730957
0,883,deal,0.138483926653862
0,970,imagined,0.1346009671688079
0,981,stuﬀ,0.1342057734727859
0,949,treated,0.1332267224788665
0,86,count,0.1320684999227523
0,967,close,0.1313083469867706
0,289,seems,0.1307345479726791
0,978,drove,0.1269423216581344
0,461,buttocks,0.1255590468645095
0,781,building,0.1241290047764778
0,759,light,0.120872750878334
0,503,leading,0.1205876693129539
0,911,collected,0.120554506778717
0,547,sounded,0.1198189035058021
1,969,grandchild,0.3884007930755615
1,982,mouths,0.3524460792541504
1,990,end,0.288709282875061
1,910,taken,0.1891288757324218
1,954,skills,0.1593706756830215
1,933,asks,0.1483808159828186
1,992,finished,0.1444476991891861
1,957,collarbone,0.1322366148233413
1,936,appointed,0.1321248412132263
1,721,set,0.1318252235651016
1,996,removed,0.1314346492290496
1,964,hurt,0.1247207596898078
1,830,guided,0.1224225014448165
1,995,torn,0.1214543431997299
1,976,involved,0.1093234866857528
1,998,coming,0.1090153753757476
1,979,hate,0.1088476628065109
1,367,startled,0.1054963544011116
1,155,flattered,0.1047530621290206
1,940,stare,0.1000932678580284
