persona,feature,weight
0,agent:absorbing,1.7587391810998785
0,agent:abstaining,1.7587391810998785
0,poss:ﬁgures,1.7587391810998785
0,poss:ﬂutter,1.7587391810998785
0,poss:ﬂoury,1.7587391810998785
0,agent:clearheaded,1.7587391810998785
0,poss:ramble,1.7587391810998785
0,poss:rambles,1.7587391810998785
0,poss:rambling,1.7587391810998785
0,agent:cloud,1.7587391810998785
0,agent:clouding,1.7587391810998785
0,poss:quiver,1.7587391810998785
0,poss:question-,1.7587391810998785
0,poss:quests,1.7587391810998785
0,poss:recount,1.7587391810998785
0,agent:clawing,1.7587391810998785
0,poss:quill,1.7587391810998785
0,poss:yips,1.7587391810998785
0,agent:wadded,1.7587391810998785
0,agent:yowled,1.7587391810998785
0,agent:ﬁdgeted,1.7587391810998785
0,agent:yearning,1.7587391810998785
0,agent:wronging,1.7587391810998785
0,agent:xiio,1.7587391810998785
0,agent:wrestling,1.7587391810998785
0,poss:ﬁght,1.7587391810998785
0,mod:affection,1.7587391810998785
0,mod:acquiescent,1.7587391810998785
0,mod:absentminded,1.7587391810998785
0,agent:ﬂowing,1.7587391810998785
0,agent:ﬂashes,1.7587391810998785
0,agent:ﬁnishing,1.7587391810998785
0,agent:ﬁlling,1.7587391810998785
0,poss:quandary,1.7587391810998785
0,agent:coat,1.7587391810998785
0,poss:qijie,1.7587391810998785
0,poss:push,1.7587391810998785
0,agent:colonised,1.7587391810998785
0,poss:proverbs,1.7587391810998785
0,agent:clarified,1.7587391810998785
0,agent:urging,1.7587391810998785
0,mod:apt,1.7587391810998785
0,mod:argument,1.7587391810998785
0,mod:anyplace,1.7587391810998785
0,mod:applications,1.7587391810998785
0,mod:and-,1.7587391810998785
0,agent:vamped,1.7587391810998785
0,mod:amusement,1.7587391810998785
0,mod:anal,1.7587391810998785
0,poss:reeling,1.7587391810998785
1,agent:blinks,2.289297782702641
1,agent:murmurs,2.289297782702641
1,mod:charitable,2.28929778270264
1,agent:abuses,2.28929778270264
1,poss:ﬁsh,2.28929778270264
1,poss:millennia,2.28929778270264
1,poss:modes,2.28929778270264
1,poss:models,2.28929778270264
1,poss:mode,2.28929778270264
1,poss:mooncakes,2.28929778270264
1,poss:motto,2.28929778270264
1,poss:motivations,2.28929778270264
1,poss:motion,2.28929778270264
1,poss:mother)-,2.28929778270264
1,poss:almanacs,2.28929778270264
1,agent:noses,2.28929778270264
1,agent:coaxes,2.28929778270264
1,agent:clutches,2.28929778270264
1,poss:repentance,2.28929778270264
1,poss:reparations,2.28929778270264
1,mod:classic,2.28929778270264
1,mod:bundle,2.28929778270264
1,mod:deal,2.28929778270264
1,mod:deadly,2.28929778270264
1,poss:yearns,2.28929778270264
1,poss:xiao,2.28929778270264
1,agent:accuses,2.28929778270264
1,mod:deity,2.28929778270264
1,mod:conflicted,2.28929778270264
1,mod:countryside,2.28929778270264
1,mod:cornered,2.28929778270264
1,mod:creaks,2.28929778270264
1,poss:yield,2.28929778270264
1,poss:yiao,2.28929778270264
1,poss:yup,2.28929778270264
1,mod:capital,2.28929778270264
1,agent:doffs,2.28929778270264
1,agent:doles,2.28929778270264
1,agent:dois,2.28929778270264
1,mod:degenerate,2.28929778270264
1,mod:breathtaking,2.28929778270264
1,mod:breathing,2.28929778270264
1,mod:disgrace,2.28929778270264
1,mod:disease,2.28929778270264
1,mod:bore,2.28929778270264
1,agent:acquiesces,2.28929778270264
1,mod:disinclined,2.28929778270264
1,mod:doctors,2.28929778270264
1,mod:cryptic,2.28929778270264
1,mod:dad,2.28929778270264
2,poss:ﬁxer,2.074163012103538
2,agent:abate,2.074163012103538
2,agent:-angered,2.074163012103538
2,poss:reeducation,2.074163012103538
2,poss:recordings,2.074163012103538
2,poss:recite,2.074163012103538
2,poss:rebirth,2.074163012103538
2,poss:rattlesnake,2.074163012103538
2,poss:rational,2.074163012103538
2,poss:raspy,2.074163012103538
2,poss:rageful,2.074163012103538
2,poss:rag,2.074163012103538
2,poss:racket,2.074163012103538
2,poss:quip,2.074163012103538
2,poss:riﬂe,2.074163012103538
2,agent:bawled,2.074163012103538
2,agent:bandaging,2.074163012103538
2,agent:balmy,2.074163012103538
2,agent:baking,2.074163012103538
2,agent:backstroked,2.074163012103538
2,poss:ﬁesh,2.074163012103538
2,poss:zone,2.074163012103538
2,agent:babysitting,2.074163012103538
2,agent:booming,2.074163012103538
2,agent:bolt,2.074163012103538
2,agent:bodysurfed,2.074163012103538
2,agent:bloodied,2.074163012103538
2,agent:blinking,2.074163012103538
2,agent:blessing,2.074163012103538
2,agent:bided,2.074163012103538
2,agent:beneﬁt,2.074163012103538
2,agent:belittle,2.074163012103538
2,poss:yujin,2.074163012103538
2,poss:puritan,2.074163012103538
2,poss:punctuality,2.074163012103538
2,poss:punch,2.074163012103538
2,poss:publishers,2.074163012103538
2,poss:puberty,2.074163012103538
2,poss:profiles,2.074163012103538
