n_personas,persona,role,word,weight
8,1,agent,laugh,0.026406769
8,1,agent,shake,0.017813142
8,1,agent,talk,0.011721357
8,1,agent,wear,0.000944036
8,2,agent,show,0.007249205
8,4,agent,start,0.02413351
8,6,agent,living,0.008117616
8,7,agent,eat,0.019125087
8,1,patient,match,0.02800043
8,1,patient,thought,0.021385226
8,1,patient,murder,0.013149032
8,1,patient,grab,0.013045243
8,2,patient,spare,0.01122967
8,3,patient,impressed,0.048020277
8,3,patient,sat,0.023820233
8,3,patient,correct,0.016586188
8,3,patient,release,0.0130112115
8,4,patient,write,0.016955134
8,5,patient,come,0.046376325
8,5,patient,fool,0.026841743
8,5,patient,understand,0.009642436
8,6,patient,dress,0.03439135
8,6,patient,contact,0.024411164
8,6,patient,shot,0.02143765
8,6,patient,eyed,0.016591463
8,7,patient,shake,0.05384813
8,7,patient,pay,0.013866046
8,0,possessive,cane,0.07986913
8,1,possessive,career,0.09337434
8,2,possessive,qipao,0.113178924
8,3,possessive,cup,0.09972024
8,3,possessive,age,0.09097612
8,4,possessive,fate,0.08376995
8,6,possessive,jacket,0.080521226
8,7,possessive,cigarette,0.081896886
8,7,possessive,suitcase,0.076020494
8,0,predicative,vulnerable,0.017895702
8,1,predicative,furious,0.011741722
8,1,predicative,thin,0.0016987949
8,2,predicative,best,0.014655108
8,2,predicative,self,0.008474706
8,2,predicative,girlfriend,0.006473665
8,2,predicative,bent,0.004036242
8,4,predicative,player,0.00029120877
8,5,predicative,popular,0.012649287
8,5,predicative,conscious,0.0020513195
8,6,predicative,comfortable,0.013807273
8,6,predicative,incapable,0.008217294
8,7,predicative,youth,0.0034049384
