n_personas,persona,role,word,weight
9,8,patient,affect,0.019202776
9,8,patient,match,0.014137382
9,0,possessive,self,0.09620788
9,1,possessive,leg,0.07950539
9,2,possessive,gate,0.09145997
9,2,possessive,best,0.074765354
9,3,possessive,murder,0.098856635
9,3,possessive,career,0.082851306
9,4,possessive,maid,0.06869899
9,4,possessive,breathing,0.060143247
9,5,possessive,qipao,0.10554845
9,7,possessive,cigarette,0.10351349
9,8,possessive,journal,0.063184
9,0,predicative,gift,0.009670299
9,0,predicative,comfortable,0.003430065
9,1,predicative,bent,0.011623171
9,3,predicative,cop,0.0058432226
9,3,predicative,ward,0.003906954
9,4,predicative,naked,0.0023205434
9,5,predicative,self,0.019312205
9,5,predicative,spy,0.019246452
9,5,predicative,creature,0.0022949409
9,5,predicative,intent,0.00183707
9,6,predicative,exhausted,0.0051702936
10,2,agent,grab,0.002378445
10,3,agent,lean,0.014015254
10,4,agent,die,0.013888712
10,4,agent,shake,0.0010473588
10,6,agent,forgot,0.004745864
10,7,agent,eat,0.02718193
10,7,agent,laugh,0.018793473
10,7,agent,listen,0.003977907
10,9,agent,throw,0.00062551233
10,0,patient,killing,0.01684928
10,0,patient,spare,0.014604668
10,0,patient,make,0.012048268
10,1,patient,scare,0.03004168
10,1,patient,try,0.026364565
10,1,patient,affect,0.01252067
10,1,patient,match,0.010375643
10,2,patient,enter,0.03826945
10,2,patient,undressed,0.015098738
10,3,patient,look,0.011258865
10,3,patient,imagine,0.010506945
10,4,patient,pay,0.024350597
10,5,patient,silence,0.016557226
10,5,patient,scold,0.013830549
10,6,patient,shoot,0.0515959
10,6,patient,grab,0.018648058
10,7,patient,afford,0.010950736
10,7,patient,correct,0.008675188
10,8,patient,fool,0.016763475
10,9,patient,greet,0.008244941
10,0,possessive,qipao,0.07425859
10,4,possessive,gate,0.0647924
10,5,possessive,murder,0.12145529
10,5,possessive,jacket,0.08320814
10,5,possessive,anger,0.07842143
10,5,possessive,breathing,0.07596579
10,7,possessive,luck,0.058653854
10,8,possessive,career,0.09654959
10,0,predicative,intent,0.018184053
10,0,predicative,concubine,0.0032056647
10,4,predicative,content,0.011411805
10,5,predicative,envious,0.0024878283
10,5,predicative,wet,0.0007431787
10,8,predicative,numb,0.0035630944
10,8,predicative,father,0.00014397374
11,0,agent,die,0.008282402
11,0,agent,pay,0.00063786085
11,2,agent,promise,0.024581699
11,2,agent,feeling,0.003661059
11,3,agent,lean,0.013121411
11,3,agent,bear,0.0022675209
11,4,agent,listen,0.008004241
11,4,agent,show,0.007485205
11,5,agent,respond,0.0064021233
11,7,agent,buy,0.013097408
11,8,agent,shake,0.0077831424
11,8,agent,lose,0.0012102595
11,10,agent,laugh,0.0042785206
11,10,agent,meet,0.0038887432
11,1,patient,place,0.012433601
11,2,patient,use,0.008915889
11,3,patient,enter,0.03149546
11,3,patient,entertain,0.017042818
11,4,patient,murder,0.024918001
11,4,patient,ﬁnd,0.013042676
11,5,patient,greet,0.011346945
11,5,patient,avoid,0.0089363875
11,5,patient,dump,0.0071064853
11,7,patient,scold,0.00895652
11,7,patient,reassure,0.0073939897
11,8,patient,dress,0.01890242
11,8,patient,fetch,0.01065174
11,8,patient,lose,0.0100652715
11,8,patient,scare,0.0060523623
11,9,patient,chase,0.016323576
11,9,patient,look,0.013534671
11,0,possessive,blood,0.07091642
11,1,possessive,gate,0.064656936
11,2,possessive,cane,0.063895926
11,4,possessive,fault,0.10132625
11,4,possessive,abdomen,0.08964601
11,5,possessive,leg,0.06508033
11,6,possessive,career,0.09031344
11,10,possessive,gown,0.08174369
11,1,predicative,chinese,0.0008103742
11,1,predicative,content,0.00074727996
11,2,predicative,attractive,0.0019323714
11,3,predicative,ward,0.033361774
11,3,predicative,impatient,0.0016342907
11,4,predicative,concubine,0.003254018
11,4,predicative,creature,0.0025321702
11,9,predicative,warm,0.013317702
12,1,agent,change,0.004050416
12,1,agent,explain,0.0019900452
12,1,agent,drank,0.0019472921
12,4,agent,grab,0.0028428144
12,6,agent,cry,0.021677196
12,6,agent,show,0.008844745
12,6,agent,listen,0.0021462084
12,7,agent,living,4.394993e-06
12,8,agent,smiling,0.011759147
12,10,agent,smile,0.0047363853
12,10,agent,lean,0.004716648
12,10,agent,send,0.0030259728
12,10,agent,watching,0.00085262436
12,11,agent,throw,0.028100723
12,11,agent,respond,0.018146373
12,1,patient,match,0.032488577
12,1,patient,thinking,0.027213404
12,1,patient,betrothed,0.012097416
12,2,patient,surrounding,0.012421545
12,2,patient,write,0.011296743
12,4,patient,play,0.019355943
12,4,patient,saving,0.016976217
12,4,patient,look,0.013979356
12,5,patient,dress,0.040707253
12,6,patient,cover,0.013321313
12,6,patient,try,0.011227056
12,7,patient,turn,0.030933691
12,7,patient,imagine,0.008273605
12,8,patient,drop,0.015510633
12,8,patient,dump,0.010751088
12,8,patient,accusing,0.009552123
