persona,feature,weight
5,agent:375,10138.109
5,agent:824,8754.628
5,agent:40,7693.246
5,agent:268,7309.1284
5,poss:534,7115.2725
5,patient:698,5353.8843
5,agent:211,5237.662
5,agent:965,5027.87
5,patient:211,5016.0396
5,agent:839,4929.3223
5,poss:729,4790.1846
5,mod:333,4515.547
5,agent:672,4484.23
5,agent:19,4373.672
5,poss:980,4152.7095
5,patient:417,3915.2258
5,patient:327,3852.7478
5,poss:993,3802.2388
5,poss:632,3598.6145
5,patient:998,3552.9856
5,agent:976,3521.3513
5,agent:793,3421.5374
5,patient:787,3195.14
5,patient:113,3134.007
5,mod:85,3028.9783
5,poss:546,2954.3909
5,agent:517,2851.2058
5,agent:296,2846.1772
5,agent:79,2751.6064
5,agent:201,2733.221
5,poss:922,2547.4236
5,patient:117,2545.8257
5,mod:336,2545.1887
5,agent:158,2488.9485
5,agent:369,2418.4414
5,poss:462,2365.1484
5,agent:144,2364.3071
5,agent:45,2320.9785
5,patient:688,2212.7676
5,patient:808,2202.5151
5,poss:557,2172.228
5,patient:85,2072.8384
5,poss:569,2022.4604
5,agent:509,1955.7031
5,agent:501,1946.9912
5,agent:460,1897.5883
5,mod:958,1886.6702
5,agent:333,1872.1366
6,agent:824,19668.88
6,agent:998,17183.488
6,agent:905,15498.159
6,agent:204,14159.249
6,poss:998,11692.515
6,agent:839,9829.436
6,agent:211,8797.35
6,agent:262,8546.591
6,agent:816,8088.914
6,agent:735,6231.512
6,agent:987,4739.7593
6,poss:868,4653.056
6,mod:333,4587.612
6,poss:846,4408.774
6,mod:621,4076.449
6,agent:417,3960.919
6,poss:223,3769.9844
6,poss:530,3737.8997
6,agent:144,3693.105
6,agent:45,3600.1333
6,patient:339,3562.0688
6,patient:998,3238.5188
6,agent:216,3171.9058
6,mod:497,3140.6797
6,agent:345,3004.6125
6,poss:521,2959.6943
6,patient:816,2913.4011
6,agent:30,2689.2122
6,agent:469,2671.9387
6,poss:211,2545.022
6,agent:117,2534.291
6,patient:79,2524.2932
6,agent:965,2498.8337
6,agent:561,2495.3171
6,agent:296,2375.559
6,agent:220,2365.7705
6,agent:510,2299.0793
6,poss:128,2250.165
6,agent:976,2218.0437
6,agent:412,2216.2139
6,agent:278,2200.4504
6,poss:757,2170.6074
6,mod:306,2144.0276
6,patient:262,2091.482
6,patient:517,2075.506
6,patient:698,2072.6584
6,agent:952,2024.6616
6,poss:231,2020.2886
6,patient:222,2008.7545
6,mod:839,1990.4171
7,poss:315,13131.785
7,agent:987,8192.556
7,poss:868,6467.7324
7,agent:998,5869.607
7,agent:18,5616.685
7,agent:559,5584.02
7,poss:729,5193.6416
7,poss:772,5147.837
7,patient:327,5134.977
7,mod:287,5119.321
7,agent:688,4592.792
7,agent:429,4535.3374
7,agent:839,4426.802
7,agent:79,4037.2217
7,poss:374,3674.6438
7,agent:747,3614.6194
7,agent:30,3594.2302
7,poss:655,3578.7744
7,agent:558,3578.204
7,agent:812,3520.6472
7,agent:113,3356.0093
7,poss:464,3286.4038
7,patient:165,3178.5547
7,poss:846,3006.1812
7,agent:85,2993.0354
7,poss:330,2928.8174
7,agent:829,2854.251
7,agent:509,2617.5837
7,poss:296,2574.4592
7,patient:816,2521.4746
7,poss:621,2515.6333
7,agent:117,2501.4165
7,agent:872,2474.0032
7,agent:594,2395.3018
7,poss:321,2322.9067
7,agent:9,2289.7834
7,poss:966,2283.0217
7,agent:775,2268.4456
7,agent:699,2233.3757
7,poss:170,2222.0059
7,agent:96,2206.3542
7,poss:533,2198.3706
7,agent:642,2179.638
7,poss:239,2114.8433
7,patient:417,2114.3296
7,agent:19,2093.2441
7,patient:143,2072.893
7,poss:123,2065.1367
7,poss:557,2062.5872
7,mod:621,2025.0614
