character_id,role,word,freq
0,agent,alarmed,1
0,agent,approached,1
0,agent,ask,1
0,agent,associates,1
0,agent,attended,1
0,agent,began,1
0,agent,call,1
0,agent,charge,1
0,agent,collaborate,1
0,agent,compete,1
0,agent,complained,1
0,agent,contacted,2
0,agent,cooperate,1
0,agent,did,2
0,agent,divorced,1
0,agent,do,5
0,agent,doing,1
0,agent,eagled,1
0,agent,failed,1
0,agent,find,1
0,agent,fixed,1
0,agent,gave,1
0,agent,had,2
0,agent,has,5
0,agent,have,1
0,agent,help,1
0,agent,helped,1
0,agent,interviews,1
0,agent,knew,1
0,agent,know,3
0,agent,knows,1
0,agent,listened,1
0,agent,lived,1
0,agent,looked,2
0,agent,made,4
0,agent,met,1
0,agent,missed,1
0,agent,need,1
0,agent,permitted,1
0,agent,provided,1
0,agent,published,1
0,agent,put,1
0,agent,received,3
0,agent,recommended,1
0,agent,reserved,1
0,agent,respond,1
0,agent,restored,1
0,agent,return,1
0,agent,said,9
0,agent,say,2
0,agent,seemed,1
0,agent,sounded,1
0,agent,spoke,1
0,agent,started,3
0,agent,taken,1
0,agent,talk,1
0,agent,talked,1
0,agent,tell,1
0,agent,throwing,1
0,agent,touched,1
0,agent,trying,1
0,agent,turn,1
0,agent,turns,1
0,agent,visited,1
0,agent,want,3
0,agent,whispered,1
0,agent,wish,1
0,agent,wrapped,1
0,patient,approach,1
0,patient,approaching,1
0,patient,ask,1
0,patient,called,1
0,patient,chosen,1
0,patient,drying,1
0,patient,interviewed,2
0,patient,involved,1
0,patient,keep,1
0,patient,killed,1
0,patient,know,1
0,patient,murdered,1
0,patient,pull,1
0,patient,saw,1
0,patient,see,1
0,patient,seen,2
0,patient,speak,1
0,patient,supposed,1
0,patient,used,1
0,patient,watched,1
0,possessive,apartment,1
0,possessive,ass,1
0,possessive,assistant,1
0,possessive,assumption,1
0,possessive,attendance,1
0,possessive,body,4
0,possessive,breasts,1
0,possessive,business,2
0,possessive,calls,5
0,possessive,career,2
0,possessive,case,3
0,possessive,choices,1
0,possessive,circumstances,1
0,possessive,clients,1
0,possessive,company,4
0,possessive,connection,1
0,possessive,connections,1
0,possessive,cooperation,1
0,possessive,days,1
0,possessive,death,10
0,possessive,effort,1
0,possessive,eyes,1
0,possessive,face,5
0,possessive,family,1
0,possessive,feelings,1
0,possessive,file,1
