"book","name","character_id"
"The Valley of Amazement","Violet Minturn","142"
"These Violent Delights","Alisa Montagova","143"
"These Violent Delights","Juliette Cai","144"
"These Violent Delights","Kathleen Lang (Celia Lang)","145"
"These Violent Delights","Madame","146"
"These Violent Delights","Rosalind Lang","147"
"What We Were Promised","Karen Zhen","148"
"What We Were Promised","Rose","149"
"What We Were Promised","Sunny (Tong Sunny)","150"
"What We Were Promised","Taitai","151"
"When Red Is Black","Peiqin","152"
