Character id,Persona Prob Vec
54,"0.091273,0.091605,0.090950,0.090995,0.090739,0.091564,0.090451,0.091830,0.092073,0.088804,0.089717"
55,"0.088962,0.089758,0.090840,0.092411,0.092193,0.090917,0.094437,0.086148,0.092471,0.091748,0.090115"
56,"0.089905,0.092364,0.090053,0.091215,0.094808,0.091682,0.094210,0.081429,0.090131,0.092342,0.091862"
57,"0.091564,0.090836,0.089693,0.091122,0.090142,0.091986,0.091350,0.091851,0.092824,0.089533,0.089098"
58,"0.091418,0.093436,0.091242,0.090588,0.090524,0.089732,0.091260,0.089598,0.090585,0.090349,0.091267"
59,"0.092949,0.091170,0.090421,0.090988,0.089814,0.091332,0.090577,0.091223,0.092003,0.089385,0.090138"
60,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
61,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
62,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
63,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
64,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
65,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
66,"0.092074,0.091902,0.089869,0.091587,0.092369,0.091410,0.091860,0.087109,0.091366,0.089819,0.090635"
67,"0.094365,0.091713,0.091683,0.090706,0.088736,0.090515,0.090094,0.091032,0.091929,0.087980,0.091247"
68,"0.089718,0.091992,0.089676,0.090963,0.093399,0.091275,0.092167,0.087463,0.091076,0.091389,0.090882"
69,"0.090973,0.091099,0.091591,0.091302,0.092288,0.091596,0.092350,0.087787,0.091409,0.089820,0.089785"
70,"0.091753,0.091028,0.091390,0.090232,0.089222,0.091341,0.091448,0.091100,0.090511,0.088979,0.092996"
71,"0.080769,0.096111,0.095057,0.085509,0.086761,0.092701,0.091354,0.094154,0.094717,0.088876,0.093990"
72,"0.091552,0.091545,0.091234,0.090764,0.090077,0.092269,0.090457,0.089892,0.092305,0.089040,0.090865"
73,"0.090521,0.091114,0.091321,0.091647,0.091008,0.090647,0.091646,0.088577,0.092056,0.090995,0.090468"
74,"0.091116,0.091474,0.091039,0.092269,0.091769,0.091046,0.091737,0.087293,0.091765,0.090189,0.090303"
75,"0.091492,0.090375,0.091788,0.091844,0.092167,0.091729,0.089207,0.090161,0.094069,0.088159,0.089009"
76,"0.090718,0.089410,0.091621,0.091555,0.091616,0.089590,0.091458,0.092673,0.091527,0.089993,0.089840"
77,"0.089464,0.090492,0.090382,0.090568,0.089693,0.093352,0.091132,0.091663,0.092717,0.089994,0.090544"
78,"0.092343,0.091296,0.091104,0.090415,0.091224,0.092229,0.090113,0.090118,0.092576,0.088455,0.090126"
79,"0.089276,0.091050,0.090288,0.093140,0.094022,0.089999,0.094337,0.083793,0.089559,0.093193,0.091343"
80,"0.094532,0.091510,0.092073,0.087518,0.086313,0.092844,0.086809,0.097460,0.095773,0.085192,0.089977"
81,"0.090549,0.090217,0.090762,0.093099,0.094124,0.091120,0.093589,0.085153,0.090468,0.091362,0.089557"
82,"0.091420,0.090726,0.089799,0.092208,0.092930,0.091213,0.093293,0.086477,0.091076,0.091416,0.089443"
83,"0.091025,0.091397,0.090465,0.091656,0.091761,0.091837,0.090738,0.089567,0.092521,0.088977,0.090056"
84,"0.091632,0.091063,0.090074,0.092112,0.093420,0.091351,0.091339,0.087832,0.092028,0.088963,0.090186"
85,"0.093558,0.091219,0.092089,0.091401,0.089162,0.091407,0.091051,0.089704,0.091056,0.087893,0.091460"
86,"0.093410,0.093123,0.092596,0.089896,0.090311,0.089220,0.087848,0.093080,0.090329,0.087876,0.092308"
87,"0.092449,0.091367,0.090654,0.091232,0.090985,0.091121,0.090950,0.090183,0.091435,0.089171,0.090453"
88,"0.092675,0.092840,0.089830,0.090176,0.090325,0.091274,0.090594,0.089160,0.092532,0.088521,0.092073"
89,"0.090202,0.090545,0.091454,0.091629,0.091502,0.091877,0.090537,0.090174,0.092061,0.090824,0.089196"
90,"0.092507,0.091463,0.090832,0.090806,0.092166,0.090888,0.090163,0.090087,0.091226,0.089588,0.090276"
91,"0.086098,0.086917,0.092007,0.093552,0.088520,0.089601,0.087222,0.105558,0.093533,0.089715,0.087277"
92,"0.096823,0.092144,0.095530,0.080650,0.077314,0.091273,0.081645,0.117668,0.094396,0.082847,0.089710"
93,"0.091287,0.091772,0.090656,0.093029,0.091399,0.091949,0.090977,0.086705,0.091633,0.090557,0.090037"
94,"0.093419,0.093373,0.090099,0.092267,0.091992,0.089942,0.089746,0.091268,0.090612,0.087439,0.089842"
95,"0.091361,0.088915,0.092308,0.090354,0.090890,0.089938,0.091223,0.093873,0.091110,0.090852,0.089176"
96,"0.089304,0.090249,0.090780,0.092977,0.092150,0.090618,0.093715,0.086520,0.092414,0.091652,0.089621"
97,"0.092324,0.092339,0.090136,0.090977,0.092073,0.092201,0.091602,0.086165,0.091041,0.089843,0.091301"
98,"0.094596,0.090440,0.092940,0.088738,0.088202,0.089994,0.087886,0.098315,0.090629,0.087084,0.091176"
99,"0.090501,0.092190,0.090582,0.092449,0.090547,0.093469,0.090192,0.089033,0.092470,0.089502,0.089067"
100,"0.090089,0.090966,0.091304,0.091475,0.092657,0.091158,0.092988,0.085611,0.092100,0.090903,0.090749"
101,"0.090193,0.090921,0.090605,0.091718,0.093406,0.090710,0.093324,0.086624,0.092562,0.090792,0.089147"
102,"0.091186,0.091767,0.089458,0.092535,0.092970,0.090621,0.092379,0.087225,0.090885,0.090956,0.090020"
103,"0.091397,0.090509,0.090557,0.091517,0.093621,0.089925,0.092968,0.085813,0.090860,0.092062,0.090771"
104,"0.089212,0.092423,0.091014,0.091927,0.092942,0.090912,0.091759,0.085944,0.093802,0.090222,0.089845"
105,"0.091989,0.091447,0.089558,0.090424,0.089712,0.092115,0.090755,0.090940,0.091534,0.090382,0.091144"
106,"0.095607,0.091306,0.091561,0.090167,0.088911,0.089478,0.088825,0.096061,0.090654,0.086616,0.090814"
107,"0.097859,0.090757,0.093253,0.090417,0.090389,0.085813,0.088126,0.097340,0.087469,0.085987,0.092589"
108,"0.091721,0.091394,0.090633,0.091972,0.090625,0.090002,0.091253,0.091318,0.091278,0.089598,0.090207"
109,"0.090306,0.090797,0.091381,0.091806,0.093182,0.091030,0.091371,0.088999,0.092194,0.089936,0.088999"
110,"0.092298,0.091397,0.089823,0.090967,0.092686,0.091976,0.092727,0.086368,0.090854,0.089950,0.090953"
111,"0.091435,0.090376,0.090316,0.091363,0.091882,0.090747,0.091157,0.090076,0.093157,0.089662,0.089829"
112,"0.088819,0.091242,0.091069,0.090876,0.092821,0.092203,0.091563,0.087978,0.090270,0.090955,0.092203"
113,"0.090683,0.091691,0.090128,0.092468,0.092613,0.091056,0.092407,0.086724,0.091525,0.090035,0.090670"
114,"0.092779,0.091199,0.090588,0.091139,0.089917,0.090320,0.090143,0.092153,0.092447,0.088601,0.090714"
115,"0.090845,0.090511,0.090725,0.091016,0.092107,0.091735,0.092744,0.087260,0.091169,0.091112,0.090775"
116,"0.091168,0.090963,0.091155,0.092040,0.091637,0.090929,0.091951,0.088699,0.091495,0.090064,0.089900"
117,"0.092709,0.092366,0.090399,0.090178,0.091894,0.091268,0.089864,0.090620,0.091674,0.089033,0.089996"
118,"0.091501,0.090629,0.090738,0.092373,0.090477,0.091347,0.091855,0.088804,0.090903,0.090665,0.090708"
119,"0.090272,0.090814,0.091275,0.091658,0.091936,0.091116,0.091913,0.088914,0.092361,0.089770,0.089971"
120,"0.089522,0.090832,0.089939,0.090739,0.094266,0.092128,0.091002,0.087256,0.091034,0.092178,0.091105"
121,"0.091284,0.091580,0.090617,0.091948,0.092179,0.090900,0.092505,0.087748,0.090949,0.090654,0.089636"
122,"0.091646,0.091149,0.090868,0.091286,0.091822,0.091585,0.091915,0.087926,0.091890,0.089648,0.090263"
123,"0.091890,0.091286,0.090169,0.090969,0.091686,0.091328,0.091994,0.088813,0.091185,0.090575,0.090105"
124,"0.089848,0.092424,0.089918,0.090971,0.092393,0.090791,0.090750,0.089164,0.092672,0.090279,0.090790"
125,"0.091803,0.091422,0.090910,0.091463,0.091480,0.091384,0.090078,0.090006,0.092655,0.089056,0.089744"
126,"0.091853,0.094623,0.088049,0.089046,0.089566,0.091606,0.092871,0.084883,0.094190,0.088741,0.094572"
