Character id,Persona Prob Vec
0,"0.064988,0.066834,0.067739,0.065430,0.066548,0.068258,0.066961,0.065838,0.067967,0.067330,0.066836,0.066031,0.066915,0.066359,0.065964"
1,"0.066561,0.064002,0.067637,0.065767,0.065877,0.066200,0.065283,0.067111,0.067121,0.067004,0.066547,0.066644,0.067765,0.068153,0.068329"
2,"0.066222,0.063855,0.068044,0.066289,0.065321,0.066309,0.063887,0.068000,0.067675,0.065847,0.066398,0.066208,0.068462,0.069097,0.068385"
3,"0.066712,0.067906,0.065731,0.068482,0.067089,0.069615,0.064786,0.067428,0.065721,0.064616,0.066444,0.066465,0.069279,0.065430,0.064299"
4,"0.066459,0.065085,0.067827,0.066638,0.065440,0.067299,0.065495,0.067038,0.066893,0.066607,0.066423,0.066191,0.067609,0.067415,0.067582"
5,"0.064540,0.065239,0.067727,0.067364,0.068520,0.068207,0.065107,0.068806,0.065046,0.064732,0.065839,0.066080,0.067546,0.068705,0.066543"
6,"0.066255,0.067146,0.067008,0.066936,0.067341,0.067302,0.066942,0.065744,0.065762,0.067534,0.066165,0.066431,0.066634,0.066428,0.066372"
7,"0.066827,0.066148,0.067018,0.066473,0.066581,0.067501,0.066215,0.066948,0.066185,0.066554,0.066577,0.066619,0.066905,0.066850,0.066597"
8,"0.066998,0.065148,0.066238,0.067698,0.065066,0.067383,0.065549,0.068035,0.067439,0.066305,0.066293,0.066521,0.067724,0.067114,0.066491"
9,"0.066670,0.062544,0.067902,0.065698,0.065089,0.066877,0.063916,0.069476,0.067839,0.065485,0.066241,0.065663,0.069298,0.068859,0.068442"
10,"0.066661,0.067837,0.065918,0.067110,0.067690,0.067795,0.067915,0.066674,0.064858,0.065966,0.066878,0.067021,0.065832,0.065968,0.065876"
11,"0.067568,0.066931,0.066364,0.066588,0.067350,0.067503,0.067322,0.066902,0.065967,0.066026,0.066390,0.066409,0.067171,0.065950,0.065558"
12,"0.066746,0.067194,0.067273,0.066449,0.066973,0.067055,0.066674,0.066819,0.065804,0.066445,0.066852,0.066445,0.067484,0.065631,0.066157"
13,"0.067051,0.067569,0.067594,0.065922,0.067732,0.066566,0.065968,0.066618,0.065646,0.066482,0.066374,0.066821,0.067164,0.066538,0.065956"
14,"0.066817,0.065770,0.067070,0.066236,0.066563,0.067512,0.066527,0.067002,0.066407,0.066631,0.066430,0.066677,0.067123,0.066572,0.066663"
15,"0.066831,0.063387,0.068326,0.066326,0.066064,0.067164,0.063550,0.068924,0.067753,0.065632,0.065391,0.065794,0.068376,0.068688,0.067794"
16,"0.065650,0.066946,0.066560,0.065333,0.068022,0.067432,0.067912,0.066696,0.065399,0.066636,0.067089,0.065965,0.066644,0.066811,0.066905"
17,"0.067225,0.065464,0.067537,0.066430,0.065341,0.066885,0.065641,0.067302,0.066746,0.066696,0.066630,0.066201,0.067145,0.067289,0.067470"
18,"0.067054,0.065531,0.067767,0.066277,0.067523,0.066279,0.064839,0.067512,0.066626,0.066124,0.066286,0.066421,0.067359,0.066977,0.067425"
19,"0.065861,0.068620,0.065614,0.066523,0.069308,0.067565,0.067485,0.065865,0.064586,0.067202,0.067024,0.067189,0.066217,0.065605,0.065335"
20,"0.067110,0.064423,0.067181,0.067678,0.065038,0.067030,0.063894,0.067851,0.066482,0.065781,0.064476,0.066187,0.069745,0.068321,0.068803"
21,"0.066211,0.065396,0.067177,0.066670,0.065898,0.067850,0.065669,0.066956,0.067061,0.066644,0.066458,0.066094,0.067553,0.067254,0.067108"
22,"0.068227,0.070577,0.066427,0.066652,0.067486,0.068176,0.068620,0.066705,0.064656,0.066955,0.066700,0.065729,0.065649,0.064418,0.063022"
23,"0.066985,0.069119,0.065792,0.067383,0.068515,0.067654,0.068184,0.066084,0.064873,0.066955,0.067532,0.066787,0.065166,0.064833,0.064139"
24,"0.067374,0.067062,0.065651,0.067451,0.068146,0.066814,0.066466,0.066778,0.065782,0.066425,0.065986,0.065993,0.068194,0.066026,0.065853"
25,"0.067392,0.068164,0.065955,0.066846,0.067843,0.069097,0.067637,0.067703,0.064651,0.066495,0.066030,0.066240,0.066591,0.064430,0.064927"
