Character id,Persona Prob Vec
109,"0.196301,0.201852,0.201133,0.203264,0.197449"
110,"0.195450,0.200300,0.198727,0.202268,0.203255"
111,"0.199490,0.200712,0.199667,0.204620,0.195510"
112,"0.197106,0.200100,0.197873,0.200282,0.204638"
113,"0.197166,0.201431,0.199653,0.201043,0.200706"
114,"0.203617,0.203795,0.198348,0.197118,0.197121"
115,"0.195757,0.199788,0.199071,0.202207,0.203178"
116,"0.196826,0.202028,0.197312,0.201769,0.202065"
117,"0.197647,0.201700,0.196845,0.201342,0.202467"
118,"0.199429,0.202959,0.200073,0.198182,0.199357"
119,"0.198784,0.201063,0.200078,0.200713,0.199362"
120,"0.196020,0.199604,0.200036,0.200105,0.204235"
121,"0.199760,0.199369,0.198976,0.199563,0.202332"
122,"0.198083,0.201445,0.199371,0.200230,0.200871"
123,"0.198996,0.200533,0.198835,0.199256,0.202380"
124,"0.194676,0.202367,0.200931,0.203366,0.198660"
125,"0.200025,0.202657,0.199648,0.200301,0.197369"
126,"0.198344,0.198959,0.194973,0.200611,0.207113"
127,"0.199654,0.199809,0.197879,0.201768,0.200890"
128,"0.199857,0.202249,0.198727,0.198440,0.200727"
129,"0.198718,0.202681,0.200135,0.199457,0.199009"
130,"0.197005,0.202604,0.200534,0.199919,0.199938"
131,"0.201195,0.201334,0.198560,0.199001,0.199910"
132,"0.200052,0.200111,0.198006,0.199868,0.201962"
133,"0.197111,0.202169,0.200083,0.199731,0.200906"
134,"0.199585,0.201183,0.199389,0.199687,0.200156"
135,"0.200895,0.201427,0.198869,0.199292,0.199517"
136,"0.198390,0.201716,0.199325,0.199756,0.200814"
137,"0.198584,0.202061,0.199069,0.201267,0.199019"
138,"0.196965,0.201267,0.199884,0.201845,0.200039"
139,"0.200504,0.200482,0.197830,0.201189,0.199995"
140,"0.198502,0.201962,0.199511,0.199459,0.200565"
141,"0.198388,0.202490,0.198108,0.200028,0.200986"
142,"0.199606,0.202238,0.200543,0.200358,0.197254"
143,"0.198934,0.201183,0.199274,0.199439,0.201171"
144,"0.198499,0.200183,0.199226,0.199945,0.202148"
145,"0.198973,0.200419,0.199183,0.199499,0.201927"
146,"0.197038,0.201432,0.199383,0.202977,0.199170"
147,"0.199319,0.200552,0.199345,0.199206,0.201578"
148,"0.199661,0.200960,0.199058,0.199194,0.201127"
149,"0.196224,0.202348,0.199399,0.201128,0.200901"
150,"0.199668,0.201126,0.198784,0.201200,0.199221"
151,"0.195250,0.199634,0.199707,0.201515,0.203895"
152,"0.200566,0.201514,0.199041,0.201005,0.197875"
