Character id,Persona Prob Vec
0,"0.124077,0.128335,0.124134,0.126521,0.129104,0.118373,0.124929,0.124527"
1,"0.126267,0.124371,0.125419,0.124305,0.126009,0.124230,0.124076,0.125324"
2,"0.127624,0.123850,0.123212,0.124620,0.124579,0.125601,0.123919,0.126595"
3,"0.123888,0.124800,0.130090,0.121545,0.124120,0.129801,0.123328,0.122427"
4,"0.125083,0.126274,0.124606,0.124376,0.126975,0.126084,0.123717,0.122885"
5,"0.127238,0.126509,0.123469,0.126179,0.124223,0.123891,0.123254,0.125236"
6,"0.121203,0.128468,0.125415,0.125919,0.125532,0.125356,0.126913,0.121193"
7,"0.123650,0.126799,0.124236,0.125252,0.126039,0.124451,0.125387,0.124185"
8,"0.125398,0.124980,0.125483,0.123985,0.124423,0.124659,0.126426,0.124646"
9,"0.130822,0.119210,0.123168,0.121939,0.125178,0.125012,0.123260,0.131412"
10,"0.120333,0.130949,0.126524,0.126901,0.125272,0.125195,0.126722,0.118104"
11,"0.123380,0.127755,0.125922,0.126065,0.124859,0.123538,0.126792,0.121690"
12,"0.121619,0.127208,0.123573,0.128260,0.125438,0.124971,0.127665,0.121267"
13,"0.125854,0.124908,0.126297,0.124555,0.125581,0.125317,0.124869,0.122619"
14,"0.123364,0.127069,0.124773,0.125284,0.126128,0.124074,0.125774,0.123535"
15,"0.127591,0.121704,0.122981,0.123282,0.125615,0.126119,0.123831,0.128876"
16,"0.122827,0.128172,0.126137,0.126641,0.123942,0.124427,0.125152,0.122703"
17,"0.126125,0.123090,0.126067,0.122930,0.124533,0.128215,0.124561,0.124478"
18,"0.125093,0.125521,0.125105,0.125415,0.125368,0.125889,0.124429,0.123181"
19,"0.122666,0.131848,0.124460,0.126906,0.125473,0.123043,0.125466,0.120138"
20,"0.126012,0.125759,0.126102,0.122763,0.125764,0.126333,0.123739,0.123527"
21,"0.126531,0.124390,0.124664,0.124547,0.125206,0.124903,0.124310,0.125449"
22,"0.117954,0.130574,0.127101,0.128979,0.124800,0.122642,0.129607,0.118344"
23,"0.119454,0.129999,0.126596,0.126692,0.125081,0.125115,0.127601,0.119461"
24,"0.122704,0.127621,0.125766,0.123455,0.128485,0.124115,0.125870,0.121985"
25,"0.120850,0.129189,0.125944,0.127045,0.125398,0.122955,0.128656,0.119962"
26,"0.120066,0.130434,0.125539,0.125143,0.126889,0.125069,0.127323,0.119537"
27,"0.121000,0.129405,0.124502,0.125935,0.127657,0.124222,0.125970,0.121309"
28,"0.122982,0.128170,0.124905,0.123606,0.126699,0.125375,0.125494,0.122770"
29,"0.133628,0.120634,0.121630,0.123664,0.124222,0.126930,0.120609,0.128683"
30,"0.121898,0.132431,0.125031,0.125747,0.124921,0.126569,0.125045,0.118357"
31,"0.124065,0.126100,0.124816,0.124126,0.125313,0.126115,0.126262,0.123203"
32,"0.126455,0.125648,0.122657,0.125270,0.124263,0.126188,0.125529,0.123990"
33,"0.119154,0.136129,0.127363,0.127082,0.124675,0.123004,0.128681,0.113912"
34,"0.147863,0.112693,0.121032,0.116378,0.124447,0.130108,0.113638,0.133841"
35,"0.130506,0.122548,0.123578,0.123815,0.124321,0.123417,0.123631,0.128184"
36,"0.125046,0.125075,0.124393,0.124125,0.125312,0.125430,0.125548,0.125071"
37,"0.127223,0.126087,0.123381,0.124809,0.123087,0.126292,0.123291,0.125830"
38,"0.125086,0.125959,0.124487,0.124737,0.123990,0.125416,0.125743,0.124582"
39,"0.128558,0.123231,0.123206,0.125410,0.125075,0.125248,0.123480,0.125793"
40,"0.125824,0.125978,0.125039,0.125108,0.124881,0.123766,0.125312,0.124093"
41,"0.129282,0.123608,0.122626,0.125443,0.123791,0.124867,0.122596,0.127788"
42,"0.126781,0.124333,0.123911,0.125447,0.126137,0.124206,0.123721,0.125465"
43,"0.129429,0.124017,0.122120,0.123337,0.126550,0.125839,0.122299,0.126409"
44,"0.127721,0.126026,0.123976,0.125285,0.125035,0.124134,0.123396,0.124425"
