Character id,Persona Prob Vec
0,"0.108940,0.111137,0.110187,0.113826,0.111007,0.113119,0.110573,0.110620,0.110591"
1,"0.110544,0.109891,0.116531,0.110062,0.110581,0.109686,0.110398,0.111179,0.111127"
2,"0.110774,0.109788,0.117116,0.108565,0.111172,0.108262,0.110737,0.110573,0.113013"
3,"0.112282,0.108692,0.107905,0.108409,0.110777,0.110914,0.108253,0.116966,0.115802"
4,"0.109677,0.111568,0.113014,0.110591,0.111547,0.110269,0.110654,0.111882,0.110798"
5,"0.110627,0.109132,0.113877,0.107802,0.111647,0.111163,0.111703,0.112538,0.111510"
6,"0.110078,0.111721,0.106558,0.112458,0.111329,0.113692,0.111974,0.111867,0.110323"
7,"0.109985,0.111172,0.111603,0.111127,0.110791,0.112017,0.111644,0.110658,0.111001"
8,"0.110618,0.109778,0.112651,0.110594,0.111024,0.110617,0.111567,0.110918,0.112234"
9,"0.110207,0.109948,0.120596,0.108725,0.110443,0.105400,0.110392,0.111263,0.113026"
10,"0.109521,0.110544,0.104917,0.112011,0.110250,0.117658,0.111264,0.112099,0.111736"
11,"0.110626,0.111228,0.108620,0.111245,0.111220,0.112372,0.111796,0.111731,0.111162"
12,"0.110294,0.111208,0.110476,0.110031,0.111285,0.111275,0.112067,0.111786,0.111579"
13,"0.109787,0.110935,0.110811,0.110808,0.112085,0.110991,0.110361,0.112177,0.112045"
14,"0.110358,0.110948,0.111670,0.111206,0.110840,0.111513,0.111108,0.110918,0.111440"
15,"0.110832,0.110345,0.118776,0.109655,0.111156,0.106222,0.109070,0.110331,0.113613"
16,"0.112380,0.112176,0.109460,0.108939,0.110122,0.112916,0.110323,0.111703,0.111980"
17,"0.109713,0.111233,0.113075,0.110764,0.111695,0.109916,0.110316,0.111420,0.111867"
18,"0.110629,0.110074,0.111900,0.109930,0.111159,0.110458,0.111185,0.112606,0.112059"
19,"0.109641,0.111791,0.105916,0.111646,0.111742,0.114809,0.112828,0.111093,0.110535"
20,"0.110193,0.110253,0.112938,0.110917,0.110629,0.108795,0.110673,0.113081,0.112521"
21,"0.109017,0.110153,0.112688,0.109006,0.111078,0.111596,0.111472,0.112568,0.112423"
22,"0.109366,0.109371,0.102419,0.113608,0.110894,0.117103,0.111652,0.114163,0.111423"
23,"0.109951,0.111738,0.103704,0.113314,0.110735,0.115093,0.113685,0.111771,0.110008"
24,"0.112011,0.110735,0.106701,0.110695,0.111441,0.114138,0.110106,0.112025,0.112148"
25,"0.110409,0.111075,0.107434,0.112273,0.110632,0.113421,0.111916,0.112019,0.110820"
26,"0.109626,0.111452,0.107122,0.111999,0.110637,0.114195,0.111303,0.110978,0.112688"
27,"0.110162,0.111089,0.109080,0.112344,0.111173,0.112393,0.110191,0.112005,0.111564"
28,"0.109251,0.111419,0.111230,0.110954,0.110306,0.111821,0.110137,0.111864,0.113020"
