Character id,Persona Prob Vec
A_Case_of_Two_Cities_0,"0.203703,0.203397,0.199239,0.197975,0.195686"
A_Case_of_Two_Cities_1,"0.202618,0.197843,0.205840,0.203629,0.190069"
A_Case_of_Two_Cities_1001,"0.182244,0.191474,0.206882,0.214859,0.204541"
A_Case_of_Two_Cities_1003,"0.192474,0.198330,0.199788,0.206126,0.203282"
A_Case_of_Two_Cities_1018,"0.186084,0.193407,0.194780,0.209960,0.215769"
A_Case_of_Two_Cities_1021,"0.174322,0.206086,0.206912,0.210553,0.202128"
A_Case_of_Two_Cities_1030,"0.203062,0.205606,0.203234,0.208147,0.179951"
A_Case_of_Two_Cities_1061,"0.197381,0.202160,0.208647,0.203348,0.188464"
A_Case_of_Two_Cities_1062,"0.198925,0.206932,0.199501,0.201811,0.192831"
A_Case_of_Two_Cities_1077,"0.203087,0.202090,0.203294,0.202697,0.188832"
A_Case_of_Two_Cities_1079,"0.188741,0.191940,0.201898,0.210367,0.207053"
A_Case_of_Two_Cities_1081,"0.201088,0.205353,0.204205,0.198919,0.190435"
A_Case_of_Two_Cities_1083,"0.200073,0.198205,0.201276,0.199690,0.200756"
A_Case_of_Two_Cities_1084,"0.207974,0.206722,0.200165,0.203945,0.181195"
A_Case_of_Two_Cities_1108,"0.201317,0.198537,0.200868,0.204341,0.194936"
A_Case_of_Two_Cities_1111,"0.219025,0.194060,0.197328,0.205969,0.183619"
A_Case_of_Two_Cities_1125,"0.160157,0.208138,0.178144,0.228198,0.225363"
A_Case_of_Two_Cities_1132,"0.174370,0.202839,0.200887,0.205538,0.216365"
A_Case_of_Two_Cities_1141,"0.186188,0.209389,0.214906,0.203323,0.186193"
A_Case_of_Two_Cities_1148,"0.201470,0.203806,0.196997,0.202756,0.194971"
A_Case_of_Two_Cities_1155,"0.195054,0.198799,0.215019,0.206560,0.184569"
A_Case_of_Two_Cities_1166,"0.195692,0.199629,0.207723,0.205406,0.191550"
A_Case_of_Two_Cities_1178,"0.191791,0.198973,0.203202,0.213493,0.192541"
A_Case_of_Two_Cities_1182,"0.210111,0.208260,0.199621,0.195548,0.186459"
A_Case_of_Two_Cities_1184,"0.200053,0.201241,0.202464,0.200869,0.195374"
A_Case_of_Two_Cities_1196,"0.192046,0.204691,0.202022,0.205116,0.196126"
A_Case_of_Two_Cities_1198,"0.203313,0.206705,0.198397,0.199074,0.192510"
A_Case_of_Two_Cities_1215,"0.207974,0.206722,0.200165,0.203945,0.181195"
A_Case_of_Two_Cities_1220,"0.189591,0.199308,0.200786,0.208846,0.201469"
A_Case_of_Two_Cities_1222,"0.193262,0.203584,0.199685,0.210711,0.192758"
A_Case_of_Two_Cities_123,"0.206342,0.210450,0.206372,0.197636,0.179199"
A_Case_of_Two_Cities_1235,"0.183599,0.207317,0.204802,0.206108,0.198174"
A_Case_of_Two_Cities_1237,"0.307956,0.206412,0.224073,0.139873,0.121686"
A_Case_of_Two_Cities_1252,"0.163354,0.185536,0.217689,0.223387,0.210034"
