Character id,Persona Prob Vec
A_Case_of_Two_Cities_1434,"0.092548,0.095680,0.103568,0.100714,0.102789,0.099241,0.113461,0.096784,0.093479,0.101736"
A_Case_of_Two_Cities_1436,"0.093834,0.093032,0.105106,0.100207,0.106180,0.099007,0.112342,0.095433,0.096101,0.098758"
A_Case_of_Two_Cities_1455,"0.102488,0.099800,0.101634,0.105339,0.098996,0.107605,0.089044,0.095683,0.099733,0.099676"
A_Case_of_Two_Cities_1456,"0.093659,0.092098,0.100737,0.099251,0.107451,0.098303,0.121694,0.097661,0.093560,0.095585"
A_Case_of_Two_Cities_1460,"0.095788,0.097408,0.102593,0.099138,0.104659,0.098057,0.108702,0.096586,0.096358,0.100712"
A_Case_of_Two_Cities_1462,"0.096736,0.099901,0.102079,0.100962,0.101032,0.101126,0.101194,0.098390,0.094568,0.104013"
A_Case_of_Two_Cities_1465,"0.095377,0.099146,0.102686,0.098507,0.102252,0.098442,0.108613,0.098597,0.091929,0.104452"
A_Case_of_Two_Cities_1466,"0.096592,0.098468,0.100109,0.102205,0.098799,0.102944,0.101947,0.097464,0.097034,0.104439"
A_Case_of_Two_Cities_1469,"0.095453,0.093792,0.101033,0.101176,0.104821,0.100659,0.111045,0.098132,0.095259,0.098631"
A_Case_of_Two_Cities_1496,"0.085019,0.083474,0.101287,0.094620,0.118044,0.093211,0.143604,0.091163,0.092590,0.096988"
A_Case_of_Two_Cities_1528,"0.087575,0.092158,0.107878,0.100235,0.110639,0.095520,0.121140,0.091776,0.096551,0.096527"
A_Case_of_Two_Cities_1542,"0.087369,0.085010,0.100592,0.095911,0.113587,0.093645,0.137752,0.099652,0.091134,0.095348"
A_Case_of_Two_Cities_1552,"0.100662,0.093938,0.101800,0.103387,0.102246,0.106435,0.097297,0.096679,0.095771,0.101785"
A_Case_of_Two_Cities_1578,"0.089220,0.094133,0.105214,0.101194,0.110359,0.102156,0.109895,0.092311,0.095259,0.100260"
A_Case_of_Two_Cities_1580,"0.095084,0.094554,0.101006,0.100283,0.102538,0.099809,0.107294,0.098457,0.095928,0.105048"
A_Case_of_Two_Cities_1585,"0.097760,0.098703,0.098883,0.103104,0.102658,0.100353,0.106445,0.093241,0.095994,0.102858"
A_Case_of_Two_Cities_1587,"0.086587,0.088492,0.106492,0.099640,0.109604,0.097980,0.123117,0.095729,0.094827,0.097535"
A_Case_of_Two_Cities_1593,"0.088236,0.091034,0.101857,0.101144,0.109549,0.094706,0.121482,0.097729,0.096069,0.098194"
A_Case_of_Two_Cities_1612,"0.099699,0.102114,0.103092,0.104593,0.101114,0.102961,0.092541,0.094473,0.100138,0.099275"
A_Case_of_Two_Cities_1639,"0.093059,0.098627,0.099065,0.102408,0.102731,0.097128,0.114015,0.099324,0.092287,0.101357"
A_Case_of_Two_Cities_1644,"0.096951,0.096614,0.103246,0.099318,0.103152,0.102867,0.105626,0.098530,0.092988,0.100708"
A_Case_of_Two_Cities_1653,"0.095349,0.096864,0.102077,0.101305,0.104892,0.099606,0.105230,0.097971,0.098064,0.098642"
A_Case_of_Two_Cities_1654,"0.097148,0.096781,0.097334,0.099696,0.100713,0.097725,0.112990,0.102712,0.096191,0.098711"
A_Case_of_Two_Cities_1656,"0.099636,0.098834,0.103172,0.101448,0.099617,0.105814,0.099024,0.096023,0.096549,0.099883"
A_Case_of_Two_Cities_1672,"0.089679,0.096246,0.104055,0.097514,0.103817,0.094420,0.119777,0.095718,0.091259,0.107515"
A_Case_of_Two_Cities_1674,"0.095727,0.098705,0.100451,0.098999,0.102595,0.097809,0.106731,0.101053,0.096556,0.101374"
A_Case_of_Two_Cities_1679,"0.097311,0.102583,0.104483,0.102392,0.102152,0.100451,0.097376,0.096091,0.097304,0.099858"
A_Case_of_Two_Cities_1684,"0.092581,0.099204,0.102475,0.100990,0.102776,0.098074,0.110597,0.097672,0.093424,0.102206"
A_Case_of_Two_Cities_1698,"0.097925,0.097019,0.100769,0.098065,0.102777,0.098086,0.107465,0.099792,0.098207,0.099895"
A_Case_of_Two_Cities_1704,"0.102055,0.100927,0.100084,0.099605,0.100916,0.099563,0.098212,0.097878,0.099718,0.101042"
A_Case_of_Two_Cities_1737,"0.094023,0.095868,0.101843,0.099299,0.104964,0.096177,0.115097,0.099083,0.094575,0.099070"
A_Case_of_Two_Cities_1738,"0.095023,0.098117,0.103469,0.099240,0.102497,0.098994,0.109256,0.097104,0.094925,0.101376"
A_Case_of_Two_Cities_1749,"0.095824,0.094185,0.101345,0.101361,0.103078,0.102241,0.108016,0.098734,0.096449,0.098767"
A_Case_of_Two_Cities_1777,"0.093070,0.091907,0.104602,0.103534,0.107865,0.103992,0.110100,0.088454,0.097001,0.099475"
A_Case_of_Two_Cities_179,"0.098138,0.098190,0.099835,0.098624,0.101854,0.097983,0.105649,0.100942,0.099079,0.099705"
A_Case_of_Two_Cities_1794,"0.096517,0.101981,0.106287,0.102182,0.102029,0.103297,0.097267,0.093574,0.097773,0.099093"
A_Case_of_Two_Cities_1804,"0.087575,0.092158,0.107878,0.100235,0.110639,0.095520,0.121140,0.091776,0.096551,0.096527"
A_Case_of_Two_Cities_181,"0.098823,0.098451,0.099908,0.099720,0.101999,0.098815,0.104159,0.100585,0.097869,0.099672"
A_Case_of_Two_Cities_1811,"0.097573,0.098622,0.103205,0.099242,0.104761,0.098640,0.105155,0.097704,0.096786,0.098313"
A_Case_of_Two_Cities_1812,"0.099327,0.100704,0.101265,0.100939,0.100898,0.100455,0.098273,0.097762,0.098777,0.101599"
A_Case_of_Two_Cities_182,"0.084863,0.082189,0.100178,0.097325,0.116068,0.090861,0.141719,0.095014,0.093212,0.098571"
A_Case_of_Two_Cities_1820,"0.100364,0.100247,0.102442,0.101603,0.101425,0.102035,0.094439,0.097022,0.098113,0.102310"
A_Case_of_Two_Cities_183,"0.097079,0.098249,0.101164,0.101722,0.105842,0.099372,0.101569,0.096551,0.098714,0.099737"
A_Case_of_Two_Cities_184,"0.099280,0.102639,0.102950,0.106178,0.100312,0.106789,0.094440,0.091577,0.094488,0.101348"
A_Case_of_Two_Cities_186,"0.102703,0.102958,0.098636,0.100601,0.099059,0.101921,0.094123,0.099019,0.101678,0.099301"
A_Case_of_Two_Cities_1882,"0.096749,0.102097,0.101904,0.101154,0.099757,0.104008,0.103106,0.094479,0.096764,0.099980"
A_Case_of_Two_Cities_1884,"0.082673,0.090784,0.107560,0.098075,0.110238,0.091586,0.134845,0.094362,0.091328,0.098550"
A_Case_of_Two_Cities_189,"0.095908,0.094620,0.104243,0.100038,0.103664,0.101850,0.108752,0.098474,0.094156,0.098295"
A_Case_of_Two_Cities_1893,"0.097818,0.095835,0.099304,0.099925,0.103741,0.104266,0.104097,0.098345,0.094031,0.102637"
A_Case_of_Two_Cities_1894,"0.092104,0.091614,0.100259,0.100699,0.105360,0.094890,0.121868,0.098016,0.091891,0.103299"
A_Case_of_Two_Cities_1906,"0.102147,0.101669,0.102571,0.102977,0.098085,0.102717,0.093515,0.098303,0.098606,0.099410"
A_Case_of_Two_Cities_191,"0.100541,0.100024,0.101068,0.099605,0.100247,0.100056,0.098896,0.100132,0.099063,0.100368"
A_Case_of_Two_Cities_192,"0.101232,0.099723,0.101203,0.101232,0.097928,0.104331,0.098156,0.097841,0.098164,0.100191"
A_Case_of_Two_Cities_194,"0.101683,0.105684,0.101040,0.103337,0.097687,0.106395,0.090073,0.093146,0.100690,0.100265"
A_Case_of_Two_Cities_1944,"0.089072,0.090940,0.107393,0.103384,0.111106,0.097999,0.115044,0.096486,0.088407,0.100169"
A_Case_of_Two_Cities_195,"0.097811,0.099518,0.102684,0.102783,0.102205,0.100420,0.097604,0.099972,0.097636,0.099368"
A_Case_of_Two_Cities_1952,"0.109086,0.098555,0.104116,0.112889,0.089690,0.107676,0.079522,0.095040,0.102072,0.101353"
A_Case_of_Two_Cities_1972,"0.106031,0.106861,0.099879,0.102759,0.090085,0.111438,0.094664,0.083328,0.099110,0.105843"
A_Case_of_Two_Cities_198,"0.098236,0.098179,0.100670,0.099098,0.101956,0.098623,0.103652,0.100231,0.099636,0.099719"
A_Case_of_Two_Cities_199,"0.099807,0.103130,0.101654,0.102768,0.099395,0.102170,0.093764,0.097862,0.101303,0.098147"
A_Case_of_Two_Cities_1998,"0.098847,0.100765,0.102347,0.099871,0.102959,0.103431,0.102364,0.095133,0.097391,0.096893"
A_Case_of_Two_Cities_200,"0.097238,0.096802,0.102173,0.099300,0.102742,0.098821,0.105995,0.099211,0.098432,0.099285"
A_Case_of_Two_Cities_2001,"0.095742,0.097792,0.102619,0.103846,0.104629,0.099690,0.100313,0.099922,0.098106,0.097341"
A_Case_of_Two_Cities_2009,"0.097366,0.098523,0.102918,0.100340,0.098467,0.102868,0.099111,0.097323,0.098588,0.104495"
A_Case_of_Two_Cities_201,"0.095018,0.099317,0.104998,0.101520,0.101415,0.101063,0.101944,0.096406,0.097246,0.101074"
