Character id,Persona Prob Vec
0,"0.086628,0.084807,0.084150,0.081222,0.083792,0.080994,0.082981,0.081916,0.081049,0.083561,0.085281,0.083619"
1,"0.083091,0.084026,0.083041,0.083452,0.083248,0.084127,0.083594,0.083297,0.083506,0.081967,0.083820,0.082831"
2,"0.083291,0.083502,0.083487,0.083925,0.083403,0.084476,0.082960,0.083952,0.083396,0.081714,0.083405,0.082487"
3,"0.084290,0.086262,0.081942,0.084783,0.084456,0.084256,0.081663,0.084144,0.080827,0.084086,0.081579,0.081711"
4,"0.083332,0.084432,0.082922,0.083457,0.083555,0.083021,0.082938,0.084246,0.083191,0.081553,0.083970,0.083383"
5,"0.083545,0.083330,0.083326,0.085445,0.082920,0.081866,0.083298,0.083458,0.083162,0.082870,0.083704,0.083077"
6,"0.085356,0.086284,0.083373,0.081563,0.082524,0.078987,0.083094,0.083487,0.081718,0.084343,0.084382,0.084889"
7,"0.084451,0.084805,0.082545,0.082338,0.083829,0.081483,0.083008,0.083625,0.082982,0.082833,0.083846,0.084256"
8,"0.084051,0.084851,0.082847,0.083390,0.083906,0.079913,0.083125,0.084381,0.082138,0.083944,0.083133,0.084320"
9,"0.082591,0.082108,0.083368,0.085796,0.084414,0.087285,0.082633,0.084602,0.084128,0.079746,0.082701,0.080629"
10,"0.084694,0.086820,0.082880,0.080979,0.083546,0.079020,0.081558,0.082793,0.081744,0.086355,0.083198,0.086414"
11,"0.085637,0.085278,0.082770,0.081884,0.083074,0.079277,0.083613,0.084070,0.082673,0.083827,0.082862,0.085035"
12,"0.085274,0.084999,0.082938,0.082752,0.083113,0.079887,0.082831,0.083884,0.082183,0.084272,0.083707,0.084160"
13,"0.084778,0.085607,0.083016,0.082903,0.083573,0.081815,0.082068,0.084461,0.081997,0.083614,0.082915,0.083252"
14,"0.083982,0.084301,0.083617,0.083036,0.083251,0.081857,0.083219,0.083855,0.082765,0.082992,0.083480,0.083645"
15,"0.081832,0.082510,0.082908,0.085163,0.084004,0.086114,0.082277,0.085011,0.083168,0.082266,0.082892,0.081855"
16,"0.085637,0.084491,0.084360,0.081165,0.083618,0.081937,0.083621,0.082758,0.082503,0.083336,0.083208,0.083368"
17,"0.082859,0.084070,0.082642,0.083714,0.084026,0.084119,0.082633,0.084474,0.083384,0.083318,0.081995,0.082767"
18,"0.084138,0.084202,0.082191,0.083834,0.084964,0.082268,0.082479,0.084222,0.084201,0.082035,0.082515,0.082951"
19,"0.085567,0.084199,0.084255,0.081092,0.082185,0.081367,0.084025,0.082612,0.082325,0.084658,0.084192,0.083523"
20,"0.083125,0.085356,0.082610,0.084566,0.083648,0.084047,0.081795,0.085187,0.083318,0.082310,0.081807,0.082231"
21,"0.083240,0.083747,0.082845,0.084303,0.082818,0.083376,0.083082,0.083992,0.081629,0.083078,0.084440,0.083450"
22,"0.086657,0.087330,0.083835,0.079985,0.081868,0.075946,0.085342,0.084603,0.082644,0.084061,0.082573,0.085153"
23,"0.085675,0.087556,0.083689,0.080677,0.083571,0.076753,0.083058,0.083262,0.082275,0.085257,0.083564,0.084663"
24,"0.084755,0.086009,0.082878,0.083050,0.083509,0.080538,0.081319,0.083635,0.083311,0.083674,0.083780,0.083542"
25,"0.084583,0.086969,0.083351,0.081966,0.082360,0.079209,0.082853,0.083422,0.083495,0.084092,0.083409,0.084292"
26,"0.084722,0.084804,0.083334,0.081928,0.084414,0.079826,0.082431,0.084069,0.083664,0.083066,0.083671,0.084071"
27,"0.084221,0.085031,0.082914,0.083337,0.083391,0.080882,0.082646,0.083349,0.082769,0.083065,0.084233,0.084163"
28,"0.083512,0.084896,0.083355,0.083093,0.082911,0.080899,0.082715,0.085427,0.082997,0.084347,0.082293,0.083555"
29,"0.081283,0.081283,0.084183,0.085715,0.082050,0.088616,0.083907,0.082669,0.080044,0.081867,0.085956,0.082427"
30,"0.084722,0.085737,0.083337,0.081504,0.084815,0.078566,0.083088,0.082596,0.082735,0.083443,0.083810,0.085648"
31,"0.083598,0.084376,0.083429,0.084217,0.082863,0.082462,0.082141,0.084360,0.083044,0.083182,0.083115,0.083213"
32,"0.083248,0.084301,0.083637,0.082407,0.082444,0.083602,0.082335,0.084404,0.082149,0.084167,0.083510,0.083795"
33,"0.087305,0.089308,0.083968,0.080680,0.079669,0.073459,0.082093,0.081411,0.082252,0.088385,0.084048,0.087424"
34,"0.074331,0.076373,0.081200,0.094028,0.080238,0.107315,0.081350,0.084688,0.071714,0.083213,0.086973,0.078577"
35,"0.083995,0.083727,0.082364,0.084200,0.084138,0.085316,0.082701,0.083606,0.081944,0.083242,0.082388,0.082380"
36,"0.083169,0.084248,0.083737,0.083738,0.084100,0.084873,0.082449,0.083322,0.082932,0.081443,0.083300,0.082687"
37,"0.083022,0.082956,0.082878,0.082538,0.082814,0.084842,0.083762,0.084808,0.083772,0.083674,0.082845,0.082089"
38,"0.084712,0.084076,0.083775,0.082556,0.083052,0.082740,0.082690,0.084155,0.082352,0.083320,0.082866,0.083707"
39,"0.082953,0.083127,0.083437,0.084331,0.083178,0.084678,0.083094,0.084141,0.083393,0.081646,0.083728,0.082293"
40,"0.084737,0.084846,0.082476,0.083204,0.083312,0.080751,0.083051,0.084865,0.083344,0.082645,0.083330,0.083439"
41,"0.082887,0.082647,0.084024,0.083685,0.082871,0.085980,0.083759,0.082022,0.084007,0.082185,0.084470,0.081464"
42,"0.084004,0.084055,0.083656,0.082799,0.082802,0.083240,0.083616,0.083095,0.083207,0.082478,0.083857,0.083190"
43,"0.082735,0.082788,0.083451,0.084854,0.082828,0.085910,0.082860,0.084351,0.082040,0.082416,0.083487,0.082279"
44,"0.083601,0.083864,0.083799,0.082522,0.083326,0.083259,0.084119,0.082855,0.082585,0.082577,0.084512,0.082980"
45,"0.081339,0.082228,0.083082,0.085610,0.083676,0.087906,0.083077,0.083785,0.083811,0.081447,0.082800,0.081239"
46,"0.081933,0.082202,0.083630,0.084817,0.083164,0.086899,0.082785,0.083569,0.082544,0.082038,0.084329,0.082091"
47,"0.084235,0.082849,0.082490,0.084236,0.083753,0.083245,0.083136,0.083817,0.082717,0.081924,0.083119,0.084479"
48,"0.083425,0.082762,0.082822,0.084078,0.083177,0.085531,0.082453,0.085519,0.082913,0.082713,0.083111,0.081496"
49,"0.084106,0.085101,0.082819,0.083534,0.082860,0.080103,0.082340,0.084592,0.083577,0.083795,0.083150,0.084023"
50,"0.077868,0.083760,0.078818,0.092444,0.087671,0.099361,0.074398,0.085801,0.079286,0.086561,0.076266,0.077767"
51,"0.083525,0.085309,0.083726,0.083931,0.084011,0.082846,0.081392,0.084569,0.084052,0.082095,0.082490,0.082054"
52,"0.083088,0.083046,0.083645,0.084041,0.083532,0.084907,0.083019,0.083855,0.083421,0.081678,0.083458,0.082311"
53,"0.083682,0.084246,0.082904,0.084281,0.082352,0.083028,0.082995,0.085243,0.082555,0.082461,0.083295,0.082958"
54,"0.082942,0.083228,0.083247,0.084326,0.083617,0.085182,0.082930,0.084355,0.082698,0.082306,0.082714,0.082455"
