Character id,Persona Prob Vec
A_Case_of_Two_Cities_0,"0.110447,0.109816,0.119599,0.108754,0.111247,0.106210,0.110518,0.110938,0.112471"
A_Case_of_Two_Cities_1,"0.112490,0.107870,0.118168,0.105814,0.111144,0.103764,0.109963,0.114880,0.115907"
A_Case_of_Two_Cities_1001,"0.109628,0.106683,0.107710,0.114865,0.108499,0.113200,0.110361,0.113695,0.115357"
A_Case_of_Two_Cities_1003,"0.111121,0.108963,0.109632,0.112777,0.109992,0.111799,0.110343,0.113972,0.111401"
A_Case_of_Two_Cities_1018,"0.107427,0.109456,0.089100,0.120137,0.111722,0.124885,0.115289,0.113948,0.108037"
A_Case_of_Two_Cities_1021,"0.124642,0.099334,0.113885,0.107741,0.113037,0.106255,0.113884,0.109623,0.111600"
A_Case_of_Two_Cities_1030,"0.115302,0.103964,0.122904,0.108897,0.111115,0.104053,0.109299,0.107690,0.116775"
A_Case_of_Two_Cities_1061,"0.108232,0.108215,0.125549,0.101154,0.109590,0.100882,0.109347,0.116386,0.120646"
A_Case_of_Two_Cities_1062,"0.112680,0.104990,0.126104,0.102376,0.112977,0.102507,0.110960,0.112705,0.114702"
A_Case_of_Two_Cities_1077,"0.110462,0.103860,0.127679,0.103978,0.109694,0.099290,0.106755,0.120731,0.117552"
A_Case_of_Two_Cities_1079,"0.115269,0.104176,0.117841,0.104825,0.114748,0.103561,0.113132,0.111309,0.115139"
A_Case_of_Two_Cities_1081,"0.111581,0.107573,0.116920,0.108374,0.111297,0.105617,0.111316,0.115013,0.112309"
A_Case_of_Two_Cities_1083,"0.111303,0.110833,0.112276,0.107908,0.112774,0.110781,0.111467,0.110332,0.112326"
A_Case_of_Two_Cities_1084,"0.109910,0.104896,0.129413,0.101850,0.114012,0.096118,0.107734,0.116666,0.119401"
A_Case_of_Two_Cities_1108,"0.111464,0.109238,0.115051,0.109999,0.111804,0.110154,0.109661,0.111580,0.111049"
A_Case_of_Two_Cities_1111,"0.109988,0.106098,0.131638,0.099527,0.108192,0.098954,0.108061,0.117552,0.119990"
A_Case_of_Two_Cities_1125,"0.115403,0.110735,0.092494,0.115290,0.119129,0.132685,0.109678,0.097674,0.106912"
A_Case_of_Two_Cities_1132,"0.111208,0.111898,0.100093,0.116505,0.110844,0.114256,0.108552,0.112955,0.113690"
A_Case_of_Two_Cities_1141,"0.117056,0.102028,0.111633,0.101739,0.120059,0.104344,0.110070,0.121574,0.111498"
A_Case_of_Two_Cities_1148,"0.111226,0.106920,0.116360,0.108307,0.110788,0.110728,0.110472,0.111242,0.113956"
A_Case_of_Two_Cities_1155,"0.105563,0.104357,0.116961,0.103836,0.110880,0.101438,0.110585,0.124139,0.122241"
A_Case_of_Two_Cities_1166,"0.109319,0.109280,0.110811,0.109121,0.111888,0.109004,0.111717,0.114644,0.114217"
A_Case_of_Two_Cities_1178,"0.117932,0.103488,0.138030,0.100525,0.104157,0.089494,0.111449,0.121878,0.113046"
