persona,feature,weight
0,poss:suﬀer,2.941159069380914
0,agent:whimper,2.941159069380914
0,agent:wheezing,2.941159069380914
0,agent:wheeze,2.941159069380914
0,poss:nightsoil,2.941159069380914
0,agent:chaperone,2.941159069380914
0,patient:satirize,2.941159069380914
0,agent:wag,2.941159069380914
0,poss:ta,2.941159069380914
0,poss:syncopators,2.941159069380914
0,patient:scrutinises,2.941159069380914
0,agent:visualise,2.941159069380914
0,poss:talisman,2.941159069380914
0,poss:tails,2.941159069380914
0,patient:pleaded,2.941159069380914
0,mod:anti,2.941159069380914
0,patient:pierces,2.941159069380914
0,mod:artists,2.941159069380914
0,agent:gag,2.941159069380914
0,agent:g,2.941159069380914
0,poss:xiao,2.941159069380914
0,mod:systematic,2.941159069380914
0,patient:sorting,2.941159069380914
0,poss:teahouse,2.941159069380914
0,agent:twitch,2.941159069380914
0,agent:tugs,2.941159069380914
0,mod:bony,2.941159069380914
0,agent:clamber,2.941159069380914
0,patient:stay,2.941159069380914
0,agent:claw,2.941159069380914
0,agent:top,2.941159069380914
0,patient:notices,2.941159069380914
0,patient:nominated,2.941159069380914
0,patient:suppressed,2.941159069380914
0,agent:glare,2.941159069380914
0,mod:refugees,2.941159069380914
0,agent:expel,2.941159069380914
0,patient:swaddling,2.941159069380914
0,agent:thrash,2.941159069380914
0,agent:tack,2.941159069380914
0,agent:swipe,2.941159069380914
0,patient:tugs,2.941159069380914
0,patient:winning,2.941159069380914
0,poss:slices,2.941159069380914
0,agent:stiffens,2.941159069380914
0,mod:creatures,2.941159069380914
0,agent:steering,2.941159069380914
0,agent:sputters,2.941159069380914
0,poss:aids,2.941159069380914
0,agent:spewing,2.941159069380914
1,mod:narrator,1.7213655503541414
1,agent:meddle,1.7213655503541414
1,agent:vetoed,1.7213655503541414
1,patient:observed,1.7213655503541414
1,poss:shares,1.7213655503541396
1,agent:trudging,1.7213655503541396
1,poss:sister's-,1.7213655503541396
1,poss:sitting,1.7213655503541396
1,agent:tidies,1.7213655503541396
1,poss:ﬂutter,1.7213655503541396
1,agent:-descended,1.7213655503541396
1,agent:tailing,1.7213655503541396
1,poss:ﬁngerprints,1.7213655503541396
1,agent:talented,1.7213655503541396
1,agent:swooning,1.7213655503541396
1,agent:taxied,1.7213655503541396
1,agent:swish,1.7213655503541396
1,agent:tell-,1.7213655503541396
1,agent:suﬀering,1.7213655503541396
1,agent:borrowing,1.7213655503541396
1,poss:skins,1.7213655503541396
1,poss:skinniness,1.7213655503541396
1,poss:skeletons,1.7213655503541396
1,agent:bolstered,1.7213655503541396
1,poss:slothfulness,1.7213655503541396
1,poss:slipping,1.7213655503541396
1,poss:smears,1.7213655503541396
1,poss:smartest,1.7213655503541396
1,poss:ﬁsh,1.7213655503541396
1,poss:ﬁre,1.7213655503541396
1,poss:ﬁngertip,1.7213655503541396
1,agent:abscond,1.7213655503541396
1,poss:ﬂing,1.7213655503541396
1,agent:terriﬁed,1.7213655503541396
1,agent:troubled,1.7213655503541396
1,agent:trotting,1.7213655503541396
1,agent:trooped,1.7213655503541396
1,agent:accommodated,1.7213655503541396
1,agent:subsisted,1.7213655503541396
1,agent:submerge,1.7213655503541396
1,agent:tweaked,1.7213655503541396
1,agent:unamused,1.7213655503541396
1,agent:unbuckled,1.7213655503541396
1,agent:unfurling,1.7213655503541396
1,agent:unify,1.7213655503541396
1,agent:stripping,1.7213655503541396
1,agent:update,1.7213655503541396
1,agent:upsetting,1.7213655503541396
1,agent:uploaded,1.7213655503541396
1,agent:vacationing,1.7213655503541396
2,poss:yong,2.3526333891468205
2,agent:marries,2.3526333891468205
2,agent:grits,2.3526333891468205
2,agent:dismisses,2.3526333891468205
2,agent:mumbles,2.3526333891468205
2,poss:models,2.3526333891468205
2,agent:flush,2.3526333891468205
2,patient:heaving,2.3526333891468205
2,agent:witnesses,2.3526333891468205
2,agent:loads,2.3526333891468205
2,poss:mural,2.3526333891468205
2,poss:lake,2.3526333891468205
2,agent:guides,2.3526333891468205
2,agent:flips,2.3526333891468205
