char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
Dreams_of_Joy_1164,Lisa_See,Dreams_of_Joy,22,1,1164,her son,he/him/his,30,
Dreams_of_Joy_1206,Lisa_See,Dreams_of_Joy,22,5,1206,my sister,she/her,137,
Dreams_of_Joy_1212,Lisa_See,Dreams_of_Joy,22,7,1212,a widow,she/her,29,
Dreams_of_Joy_1241,Lisa_See,Dreams_of_Joy,22,2,1241,a Rabbit,she/her,19,
Dreams_of_Joy_1326,Lisa_See,Dreams_of_Joy,22,2,1326,his family,they/them/their,31,
Dreams_of_Joy_1376,Lisa_See,Dreams_of_Joy,22,2,1376,a son,he/him/his,17,
Dreams_of_Joy_1398,Lisa_See,Dreams_of_Joy,22,2,1398,the Communists,they/them/their,11,
Dreams_of_Joy_1402,Lisa_See,Dreams_of_Joy,22,3,1402,your sister,she/her,21,
Dreams_of_Joy_1489,Lisa_See,Dreams_of_Joy,22,7,1489,a woman,she/her,48,
Dreams_of_Joy_1748,Lisa_See,Dreams_of_Joy,22,2,1748,none of us,they/them/their,15,
Dreams_of_Joy_1813,Lisa_See,Dreams_of_Joy,22,1,1813,the director,he/him/his,12,
Dreams_of_Joy_1854,Lisa_See,Dreams_of_Joy,22,2,1854,Character_1854,None,15,
Dreams_of_Joy_1867,Lisa_See,Dreams_of_Joy,22,6,1867,Character_1867,he/him/his,12,
Dreams_of_Joy_1880,Lisa_See,Dreams_of_Joy,22,7,1880,Character_1880,he/him/his,55,
Dreams_of_Joy_196,Lisa_See,Dreams_of_Joy,22,3,196,May,she/her,289,May|Auntie May|Auntie
Dreams_of_Joy_198,Lisa_See,Dreams_of_Joy,22,6,198,Joe,he/him/his,18,Joe|Joe Kwok
Dreams_of_Joy_199,Lisa_See,Dreams_of_Joy,22,3,199,Mom,she/her,70,Mom
Dreams_of_Joy_1994,Lisa_See,Dreams_of_Joy,22,1,1994,Tao 's mother,she/her,21,
Dreams_of_Joy_201,Lisa_See,Dreams_of_Joy,22,1,201,Chairman Mao,he/him/his,191,Chairman Mao|Mao
Dreams_of_Joy_2012,Lisa_See,Dreams_of_Joy,22,3,2012,the master,he/him/his,25,
Dreams_of_Joy_2031,Lisa_See,Dreams_of_Joy,22,2,2031,Character_2031,None,17,
Dreams_of_Joy_206,Lisa_See,Dreams_of_Joy,22,1,206,Joy,she/her,732,Joy|Comrade Joy|Joy ca
Dreams_of_Joy_208,Lisa_See,Dreams_of_Joy,22,5,208,Vern,he/him/his,54,Vern|Uncle Vern
Dreams_of_Joy_211,Lisa_See,Dreams_of_Joy,22,1,211,Z.G.,he/him/his,21,Z.G.|Z.G. Li
Dreams_of_Joy_212,Lisa_See,Dreams_of_Joy,22,6,212,Li Zhi - ge,he/him/his,33,Li Zhi - ge|Li Zhi|Comrade Li|Comrade Li Zhi - ge
Dreams_of_Joy_2132,Lisa_See,Dreams_of_Joy,22,1,2132,Character_2132,he/him/his,14,
Dreams_of_Joy_2170,Lisa_See,Dreams_of_Joy,22,1,2170,Character_2170,he/him/his,17,
Dreams_of_Joy_2192,Lisa_See,Dreams_of_Joy,22,6,2192,Character_2192,None,28,
Dreams_of_Joy_226,Lisa_See,Dreams_of_Joy,22,1,226,Z.G.,he/him/his,818,Z.G.|Blood|Z.G. 's landlady|Z.G. Blood
Dreams_of_Joy_231,Lisa_See,Dreams_of_Joy,22,1,231,Tao,she/her,428,Tao|Feng Tao|Comrade Tao|miss Tao|Feng|Comrade|Nursing Tao
Dreams_of_Joy_233,Lisa_See,Dreams_of_Joy,22,1,233,Kumei,she/her,311,"Kumei|Feng Kumei|Feng|Kumei , who repeatedly tell me not to be concerned"
Dreams_of_Joy_237,Lisa_See,Dreams_of_Joy,22,1,237,Party Secretary Feng Jin,he/him/his,54,Party Secretary Feng Jin|Feng Jin|Party Secretary Feng|Feng
Dreams_of_Joy_238,Lisa_See,Dreams_of_Joy,22,1,238,Sung - ling,she/her,140,Sung - ling
Dreams_of_Joy_240,Lisa_See,Dreams_of_Joy,22,1,240,Ta - ming,he/him/his,125,Ta - ming
Dreams_of_Joy_241,Lisa_See,Dreams_of_Joy,22,1,241,Yong,she/her,201,Yong|sooth Yong
Dreams_of_Joy_2418,Lisa_See,Dreams_of_Joy,22,2,2418,the children,they/them/their,56,
Dreams_of_Joy_262,Lisa_See,Dreams_of_Joy,22,1,262,Dun,he/him/his,304,Dun|Dun - ao
Dreams_of_Joy_265,Lisa_See,Dreams_of_Joy,22,1,265,Baba,he/him/his,33,Baba|BABA
Dreams_of_Joy_266,Lisa_See,Dreams_of_Joy,22,1,266,Cook,he/him/his,110,Cook|Director Cook
Dreams_of_Joy_273,Lisa_See,Dreams_of_Joy,22,1,273,Superintendent Wu,he/him/his,46,Superintendent Wu|Superintendent Third Class Wu Baoyu
Dreams_of_Joy_281,Lisa_See,Dreams_of_Joy,22,2,281,Comrade Ping - li,she/her,27,Comrade Ping - li|Ping - li
Dreams_of_Joy_289,Lisa_See,Dreams_of_Joy,22,3,289,May,she/her,29,May|Aunt May
Dreams_of_Joy_299,Lisa_See,Dreams_of_Joy,22,1,299,Madame Hu,she/her,30,Madame Hu
Dreams_of_Joy_302,Lisa_See,Dreams_of_Joy,22,1,302,Auntie Hu,she/her,154,Auntie Hu|Auntie
Dreams_of_Joy_307,Lisa_See,Dreams_of_Joy,22,1,307,Wo,she/her,20,Wo
Dreams_of_Joy_3184,Lisa_See,Dreams_of_Joy,22,1,3184,the Chairman,he/him/his,23,
Dreams_of_Joy_3185,Lisa_See,Dreams_of_Joy,22,1,3185,the judge,he/him/his,11,
Dreams_of_Joy_328,Lisa_See,Dreams_of_Joy,22,1,328,the Great Helmsman,he/him/his,11,the Great Helmsman
Dreams_of_Joy_336,Lisa_See,Dreams_of_Joy,22,1,336,Brigade Leader Lai,he/him/his,151,Brigade Leader Lai|Lai|Brigade Leader Lai wo
Dreams_of_Joy_3414,Lisa_See,Dreams_of_Joy,22,2,3414,her own father,he/him/his,17,
Dreams_of_Joy_3422,Lisa_See,Dreams_of_Joy,22,5,3422,Character_3422,she/her,16,
Dreams_of_Joy_3449,Lisa_See,Dreams_of_Joy,22,2,3449,Character_3449,None,25,
Dreams_of_Joy_3475,Lisa_See,Dreams_of_Joy,22,5,3475,Character_3475,None,13,
Dreams_of_Joy_3530,Lisa_See,Dreams_of_Joy,22,2,3530,Character_3530,she/her,18,
Dreams_of_Joy_3548,Lisa_See,Dreams_of_Joy,22,1,3548,my girl,she/her,18,
Dreams_of_Joy_3557,Lisa_See,Dreams_of_Joy,22,5,3557,Character_3557,None,20,
Dreams_of_Joy_365,Lisa_See,Dreams_of_Joy,22,5,365,Third Wife,she/her,18,Third Wife
Dreams_of_Joy_372,Lisa_See,Dreams_of_Joy,22,1,372,Joy,she/her,50,Joy|Sputnik|Joy LAUNCHING A SPUTNIK
Dreams_of_Joy_380,Lisa_See,Dreams_of_Joy,22,1,380,Sam,she/her,203,Sam|Samantha|the Louie|Sam Louie|Samantha Feng
Dreams_of_Joy_3862,Lisa_See,Dreams_of_Joy,22,1,3862,Brigade Leader Lai,he/him/his,34,
Dreams_of_Joy_3869,Lisa_See,Dreams_of_Joy,22,1,3869,the brigade leader,he/him/his,124,
Dreams_of_Joy_3956,Lisa_See,Dreams_of_Joy,22,2,3956,Character_3956,they/them/their,19,
Dreams_of_Joy_3979,Lisa_See,Dreams_of_Joy,22,7,3979,Character_3979,None,19,
Dreams_of_Joy_4087,Lisa_See,Dreams_of_Joy,22,2,4087,Character_4087,None,33,
Dreams_of_Joy_4130,Lisa_See,Dreams_of_Joy,22,1,4130,a Tiger,he/him/his,17,
Dreams_of_Joy_419,Lisa_See,Dreams_of_Joy,22,1,419,Hop - li,he/him/his,19,Hop - li
Dreams_of_Joy_4204,Lisa_See,Dreams_of_Joy,22,2,4204,Character_4204,they/them/their,11,
Dreams_of_Joy_423,Lisa_See,Dreams_of_Joy,22,1,423,my father,he/him/his,261,
Dreams_of_Joy_436,Lisa_See,Dreams_of_Joy,22,3,436,my aunt,she/her,35,
Dreams_of_Joy_4374,Lisa_See,Dreams_of_Joy,22,6,4374,Character_4374,None,13,
Dreams_of_Joy_439,Lisa_See,Dreams_of_Joy,22,5,439,my mother,she/her,528,
Dreams_of_Joy_444,Lisa_See,Dreams_of_Joy,22,6,444,my parents,they/them/their,19,
