book name,author
CONFLICT ON THE YANGTZE,Greg Kater
"COVID AFTERMATH, GAME OF BLOOD",DAVID PAN
Dark Shanghai,ROBERT ERVIN HOWARD
DAUGHTER OF CALAMITY,ROSALIE M. LIN
DAYDREAMS of SHANGHAI,DIMITRIY KAPLAN
DEAR CHRYSANTHEMUMS; A NOVEL IN STORIES,FIONA SZE-LORRAIN
DEATH IN SHANGHAI,MJ LEE
DEATH IN THE FLOWERY KINGDOM,STEVEN M. ROTH
DEATH OF A RED HEROINE An Inspector Chen Investigation,QIU XIAOLONG
DEATH OF THE YELLOW SWAN,STEVEN M. ROTH
DIGITAL RENAISSANCE,JOSE MIGUEL CANSADO
"DON'T CRY, TAI LAKE",QIU XIAOLONG
DRAGON SPRINGS ROAD,JANIE CHANG
DREAMS OF JOY,LISA SEE
DRIFTING IN BEIJING,ECHO WONG
Eight Days to Shanghai,Elaine Balliet
Empire of the Sun,J.G. Ballard
ENIGMA OF CHINA,Qiu Xiaolong
"ESCAPE BY LOTTERY, A Survivor's Tale",RACHEL SORAN
ETERNAL STRANGERS,URSULA BACON
"FAREWELL, SHANGHAI; A Novel",Angel Wagenstein
FIRM RESOLVE,Licia Flynn
FISH HEADS AND DUCK SKIN,LINDSEY SALATKA
FIVE STAR BILLIONAIRE,TASH AW
FLEEING THE DRAGON,STEVEN M. ROTH
FOUR LADIES SHORT STORIES,HUSSIN ALKHEDER
FRENCH CONCESSION,XIAO BAI
FROM HEIDELBERG TO SHANGHAI,JAY-CHUNG CHEN
Fu Ping,Wang Anyi
GANGSTERS OF SHANGHAI,GERRY O'SULLIVAN
Half a Lifelong Romance,Eileen Chang
"Han, or Miss Shanghai",Bryan William Myers
HARD SLEEPER,JENNIFER ARTLEY AND JEAN ARTLEY SZYMANSKI
HEART OF LIES,M. L. MALCOLM
Heirs in Love,TINA ISABEL LEUNG
HIGH STAKES IN SHANGHAI,HOWARD TURK
"HOLD YOUR BREATH, CHINA",QIU XIAOLONG
hotel shanghai,harmen kalman
"How to Be a Revolutionary, A NOVEL",C.A. Davids
Innocent Eyes,John Ward
INSPECTOR CHEN AND THE PRIVATE KITCHEN MURDER,QIU XIAOLONG
JACK OF SPIES,DAVID DOWNING
Jade Rooster: An Asiatic Fleet Thriller,R. L. Crossland
Journey from Shanghai,Lucille Bellucci
JUST ENOUGH TO START OVER,SARA GOTHELF BLOOM
Just My F***ing Luck,Rick Tuber
Lantern of the Wicked,Charles Clement
LAST DAYS IN SHANGHAI,CASEY WALKER
Legendary woman,ZhuGuang
Lilli Chernofsky,Nina Vida
LIMIT,FRANK SCHÄTZING
"Little Pink Book, 粉红小书",Olivia Kan-Sperling
LITTLE REUNIONS,EILEEN CHANG
LOST IN SHANGHAI,HOWARD TURK
