n_personas,persona,role,rank,word,weight
9,0,agent,1,said,1.2932567596435547
9,0,agent,2,had,0.874821662902832
9,0,agent,3,looked,0.8130960464477539
9,0,agent,4,asked,0.7738201022148132
9,0,agent,5,thought,0.730961799621582
9,0,agent,6,know,0.7194116711616516
9,0,agent,7,felt,0.7072381377220154
9,0,agent,8,have,0.6870803236961365
9,0,agent,9,saw,0.6367457509040833
9,0,agent,10,want,0.6237491965293884
9,0,agent,11,wanted,0.6128831505775452
9,0,agent,12,see,0.5965956449508667
9,0,agent,13,came,0.574213445186615
9,0,agent,14,sat,0.5498948097229004
9,0,agent,15,think,0.5407001972198486
9,0,agent,16,got,0.5215116143226624
9,0,agent,17,stood,0.5123140215873718
9,0,agent,18,going,0.5012286901473999
9,0,agent,19,put,0.47892001271247864
9,0,agent,20,left,0.47871264815330505
9,0,agent,21,say,0.4778116047382355
9,0,agent,22,do,0.47388866543769836
9,0,agent,23,go,0.46944761276245117
9,0,agent,24,come,0.4646264612674713
9,0,agent,25,feel,0.46203455328941345
9,0,agent,26,tell,0.4105619788169861
9,0,agent,27,look,0.40321028232574463
9,0,agent,28,let,0.3997691571712494
9,0,agent,29,like,0.38965460658073425
9,0,agent,30,get,0.36701738834381104
9,0,agent,31,take,0.3313862383365631
9,0,agent,32,remember,0.32785147428512573
9,0,agent,33,understand,0.3273921608924866
9,0,agent,34,need,0.31358689069747925
9,0,agent,35,read,0.2926928400993347
9,0,agent,36,hear,0.2843928635120392
9,0,agent,37,help,0.2819962203502655
9,0,agent,38,spoke,0.2682739496231079
9,0,agent,39,make,0.26813390851020813
9,0,agent,40,love,0.2383302003145218
9,0,agent,41,ask,0.23185332119464874
9,0,agent,42,try,0.2203817218542099
9,0,agent,43,mean,0.21137501299381256
9,0,agent,44,find,0.21042411029338837
9,0,agent,45,give,0.20590342581272125
9,0,agent,46,believe,0.19449324905872345
9,0,agent,47,arrived,0.19048014283180237
9,0,agent,48,become,0.18600958585739136
9,0,agent,49,sitting,0.1844651848077774
9,0,agent,50,stop,0.1750696301460266
9,0,patient,1,tell,0.9504781365394592
9,0,patient,2,see,0.8824372887611389
9,0,patient,3,asked,0.780541181564331
9,0,patient,4,saw,0.6481016278266907
9,0,patient,5,take,0.6185956597328186
9,0,patient,6,ask,0.5744214057922363
9,0,patient,7,help,0.5686111450195312
9,0,patient,8,love,0.530741274356842
9,0,patient,9,find,0.5264264345169067
9,0,patient,10,left,0.517362117767334
9,0,patient,11,put,0.510228157043457
9,0,patient,12,keep,0.5051195025444031
9,0,patient,13,thank,0.49970200657844543
9,0,patient,14,get,0.49251073598861694
9,0,patient,15,know,0.4778994619846344
9,0,patient,16,call,0.4160253405570984
9,0,patient,17,gone,0.40162599086761475
9,0,patient,18,leave,0.3565048277378082
9,0,patient,19,bring,0.3362320363521576
9,0,patient,20,watching,0.3330794870853424
9,0,patient,21,meet,0.3257044553756714
9,0,patient,22,hurt,0.3241550624370575
9,0,patient,23,stop,0.3187294900417328
9,0,patient,24,asking,0.2847902476787567
9,0,patient,25,married,0.2811141312122345
9,0,patient,26,leaving,0.2770806849002838
9,0,patient,27,kill,0.2742365300655365
9,0,patient,28,visit,0.2461480051279068
9,0,patient,29,remind,0.214413121342659
9,0,patient,30,touch,0.2143985778093338
9,0,patient,31,believe,0.20702464878559113
9,0,patient,32,kiss,0.20372211933135986
9,0,patient,33,show,0.20208613574504852
9,0,patient,34,force,0.19151219725608826
9,0,patient,35,let,0.18559503555297852
9,0,patient,36,protect,0.18517981469631195
9,0,patient,37,recognize,0.16799606382846832
9,0,patient,38,hear,0.1646118015050888
9,0,patient,39,send,0.15869379043579102
9,0,patient,40,pull,0.15074200928211212
9,0,patient,41,cut,0.14986974000930786
9,0,patient,42,remember,0.14695188403129578
9,0,patient,43,got,0.1433824896812439
9,0,patient,44,join,0.14205731451511383
9,0,patient,45,give,0.1374889761209488
9,0,patient,46,forgive,0.12998363375663757
9,0,patient,47,watch,0.12231739610433578
9,0,patient,48,hold,0.11943791061639786
9,0,patient,49,like,0.11934711784124374
9,0,patient,50,frightened,0.11621754616498947
9,0,possessive,1,mother,1.002606987953186
9,0,possessive,2,head,1.000864863395691
9,0,possessive,3,face,0.9873500466346741
9,0,possessive,4,hand,0.872651219367981
9,0,possessive,5,life,0.8292676210403442
9,0,possessive,6,hair,0.7799227833747864
9,0,possessive,7,voice,0.7660120129585266
9,0,possessive,8,father,0.7511167526245117
9,0,possessive,9,sister,0.7165281176567078
9,0,possessive,10,husband,0.7117812037467957
9,0,possessive,11,room,0.6883119344711304
9,0,possessive,12,body,0.6327106952667236
9,0,possessive,13,mouth,0.6283071637153625
9,0,possessive,14,mind,0.6231993436813354
9,0,possessive,15,daughter,0.6077982187271118
9,0,possessive,16,heart,0.5645014643669128
9,0,possessive,17,name,0.541960597038269
9,0,possessive,18,way,0.5318824648857117
9,0,possessive,19,family,0.5020272731781006
9,0,possessive,20,death,0.48848724365234375
9,0,possessive,21,neck,0.48419931530952454
9,0,possessive,22,son,0.478921502828598
9,0,possessive,23,shoulder,0.4763268828392029
9,0,possessive,24,aunt,0.4758051335811615
9,0,possessive,25,brother,0.4730023145675659
9,0,possessive,26,skin,0.46890386939048767
9,0,possessive,27,bed,0.46855056285858154
9,0,possessive,28,arm,0.45784518122673035
9,0,possessive,29,own,0.44879060983657837
9,0,possessive,30,chest,0.44774866104125977
9,0,possessive,31,friend,0.4081850051879883
9,0,possessive,32,phone,0.40717750787734985
9,0,possessive,33,throat,0.39575666189193726
9,0,possessive,34,uncle,0.3887941539287567
9,0,possessive,35,grandmother,0.3755413293838501
9,0,possessive,36,stomach,0.3742312490940094
9,0,possessive,37,mom,0.3678830564022064
9,0,possessive,38,home,0.35303327441215515
9,0,possessive,39,back,0.34885716438293457
9,0,possessive,40,cheek,0.33972597122192383
9,0,possessive,41,nose,0.32710814476013184
9,0,possessive,42,apartment,0.32518795132637024
9,0,possessive,43,side,0.3132343888282776
9,0,possessive,44,dad,0.30846989154815674
9,0,possessive,45,dress,0.3067784309387207
9,0,possessive,46,gaze,0.30251947045326233
9,0,possessive,47,breath,0.29165661334991455
9,0,possessive,48,work,0.28829288482666016
9,0,possessive,49,chair,0.28787651658058167
9,0,possessive,50,surprise,0.2809433043003082
9,0,predicative,1,sure,0.7448845505714417
9,0,predicative,2,sorry,0.5871034264564514
9,0,predicative,3,girl,0.568234920501709
9,0,predicative,4,happy,0.5427188277244568
9,0,predicative,5,right,0.521132230758667
9,0,predicative,6,afraid,0.49740704894065857
9,0,predicative,7,tired,0.4521990418434143
9,0,predicative,8,beautiful,0.44504013657569885
9,0,predicative,9,old,0.42601925134658813
9,0,predicative,10,busy,0.396983802318573
9,0,predicative,11,woman,0.3862711787223816
9,0,predicative,12,ready,0.36706238985061646
9,0,predicative,13,child,0.36390742659568787
9,0,predicative,14,good,0.3393532335758209
9,0,predicative,15,aware,0.3360757827758789
9,0,predicative,16,person,0.3138236403465271
9,0,predicative,17,pregnant,0.29671233892440796
9,0,predicative,18,asleep,0.27008265256881714
9,0,predicative,19,sister,0.2604372203350067
9,0,predicative,20,dead,0.26029735803604126
9,0,predicative,21,mother,0.25641223788261414
9,0,predicative,22,angry,0.2432362288236618
9,0,predicative,23,fine,0.23943974077701569
9,0,predicative,24,lucky,0.23652569949626923
9,0,predicative,25,nervous,0.21179495751857758
9,0,predicative,26,sick,0.20726677775382996
9,0,predicative,27,alone,0.1916465312242508
9,0,predicative,28,daughter,0.18042109906673431
9,0,predicative,29,free,0.18004320561885834
9,0,predicative,30,part,0.14582368731498718
9,0,predicative,31,close,0.1413850486278534
9,0,predicative,32,man,0.13200733065605164
9,0,predicative,33,friend,0.12093978375196457
9,0,predicative,34,hungry,0.11899375915527344
9,0,predicative,35,interested,0.1061444953083992
9,0,predicative,36,frightened,0.10609908401966095
9,0,predicative,37,awake,0.10483412444591522
9,0,predicative,38,ill,0.09911826252937317
9,0,predicative,39,wife,0.0980166345834732
9,0,predicative,40,proud,0.08786147087812424
9,0,predicative,41,first,0.07926549762487411
9,0,predicative,42,scared,0.0764969140291214
9,0,predicative,43,mistress,0.05709531903266907
9,0,predicative,44,smart,0.055355675518512726
9,0,predicative,45,anxious,0.05020567402243614
9,0,predicative,46,pretty,0.04663051664829254
9,0,predicative,47,prostitute,0.04452553018927574
9,0,predicative,48,well,0.042985085397958755
9,0,predicative,49,one,0.04229167848825455
9,0,predicative,50,determined,0.04159688949584961
9,1,agent,1,said,1.3131589889526367
9,1,agent,2,had,0.8441928625106812
9,1,agent,3,looked,0.7919632792472839
9,1,agent,4,asked,0.7741786241531372
9,1,agent,5,know,0.7383717894554138
9,1,agent,6,have,0.7069423794746399
9,1,agent,7,thought,0.7022245526313782
9,1,agent,8,felt,0.6896920204162598
9,1,agent,9,want,0.6421613693237305
9,1,agent,10,saw,0.6399990916252136
9,1,agent,11,wanted,0.6309979557991028
