model,persona,role,rank,word,weight
cvae_P13_L1e-06,0,possessive,1,face,0.8887020349502563
cvae_P13_L1e-06,0,possessive,2,mother,0.8748898506164551
cvae_P13_L1e-06,0,possessive,3,head,0.8716908097267151
cvae_P13_L1e-06,0,possessive,4,hand,0.7818776369094849
cvae_P13_L1e-06,0,possessive,5,hair,0.7391844391822815
cvae_P13_L1e-06,0,possessive,6,voice,0.7141962647438049
cvae_P13_L1e-06,0,possessive,7,father,0.6981208324432373
cvae_P13_L1e-06,0,possessive,8,husband,0.6919448375701904
cvae_P13_L1e-06,0,possessive,9,life,0.6853209733963013
cvae_P13_L1e-06,0,possessive,10,mouth,0.6013693809509277
cvae_P13_L1e-06,0,possessive,11,sister,0.5745541453361511
cvae_P13_L1e-06,0,possessive,12,daughter,0.5566384792327881
cvae_P13_L1e-06,0,possessive,13,room,0.5520318150520325
cvae_P13_L1e-06,0,possessive,14,body,0.5426648855209351
cvae_P13_L1e-06,0,possessive,15,mind,0.541487991809845
cvae_P13_L1e-06,0,possessive,16,heart,0.5056481957435608
cvae_P13_L1e-06,0,possessive,17,family,0.4935724437236786
cvae_P13_L1e-06,0,possessive,18,son,0.48305743932724
cvae_P13_L1e-06,0,possessive,19,way,0.4782995283603668
cvae_P13_L1e-06,0,possessive,20,arm,0.47504913806915283
cvae_P13_L1e-06,0,possessive,21,name,0.4350564479827881
cvae_P13_L1e-06,0,possessive,22,bed,0.41693925857543945
cvae_P13_L1e-06,0,possessive,23,skin,0.4161009192466736
cvae_P13_L1e-06,0,possessive,24,death,0.4031967520713806
cvae_P13_L1e-06,0,possessive,25,own,0.39906346797943115
cvae_P13_L1e-06,0,possessive,26,chest,0.39460310339927673
cvae_P13_L1e-06,0,possessive,27,shoulder,0.3909461796283722
cvae_P13_L1e-06,0,possessive,28,neck,0.3840375542640686
cvae_P13_L1e-06,0,possessive,29,cheek,0.38087767362594604
cvae_P13_L1e-06,0,possessive,30,grandmother,0.3799761235713959
cvae_P13_L1e-06,0,possessive,31,brother,0.37861374020576477
cvae_P13_L1e-06,0,possessive,32,aunt,0.3753824532032013
cvae_P13_L1e-06,0,possessive,33,back,0.3729449510574341
cvae_P13_L1e-06,0,possessive,34,mom,0.36799290776252747
cvae_P13_L1e-06,0,possessive,35,uncle,0.3638869822025299
cvae_P13_L1e-06,0,possessive,36,friend,0.36275291442871094
cvae_P13_L1e-06,0,possessive,37,phone,0.3535540997982025
cvae_P13_L1e-06,0,possessive,38,apartment,0.3503137230873108
cvae_P13_L1e-06,0,possessive,39,gaze,0.33828818798065186
cvae_P13_L1e-06,0,possessive,40,throat,0.3329383134841919
cvae_P13_L1e-06,0,possessive,41,dress,0.33206596970558167
cvae_P13_L1e-06,0,possessive,42,stomach,0.32878437638282776
cvae_P13_L1e-06,0,possessive,43,forehead,0.2952151894569397
cvae_P13_L1e-06,0,possessive,44,home,0.29516154527664185
cvae_P13_L1e-06,0,possessive,45,nose,0.28966936469078064
cvae_P13_L1e-06,0,possessive,46,surprise,0.28209197521209717
cvae_P13_L1e-06,0,possessive,47,side,0.2780696749687195
cvae_P13_L1e-06,0,possessive,48,dad,0.27259284257888794
cvae_P13_L1e-06,0,possessive,49,work,0.26719316840171814
cvae_P13_L1e-06,0,possessive,50,breath,0.25691670179367065
cvae_P13_L1e-06,0,predicative,1,sure,0.6056686043739319
cvae_P13_L1e-06,0,predicative,2,sorry,0.5580138564109802
cvae_P13_L1e-06,0,predicative,3,girl,0.516961395740509
cvae_P13_L1e-06,0,predicative,4,happy,0.5103456974029541
cvae_P13_L1e-06,0,predicative,5,right,0.4856109321117401
cvae_P13_L1e-06,0,predicative,6,afraid,0.4713236391544342
cvae_P13_L1e-06,0,predicative,7,old,0.4114241600036621
cvae_P13_L1e-06,0,predicative,8,tired,0.37542924284935
cvae_P13_L1e-06,0,predicative,9,beautiful,0.36969059705734253
cvae_P13_L1e-06,0,predicative,10,good,0.33895453810691833
cvae_P13_L1e-06,0,predicative,11,child,0.3086394667625427
cvae_P13_L1e-06,0,predicative,12,ready,0.3010900020599365
cvae_P13_L1e-06,0,predicative,13,busy,0.2982099950313568
cvae_P13_L1e-06,0,predicative,14,woman,0.2884202003479004
cvae_P13_L1e-06,0,predicative,15,aware,0.2748214304447174
cvae_P13_L1e-06,0,predicative,16,angry,0.2710028290748596
cvae_P13_L1e-06,0,predicative,17,fine,0.2534216344356537
cvae_P13_L1e-06,0,predicative,18,dead,0.25238877534866333
cvae_P13_L1e-06,0,predicative,19,mother,0.23921935260295868
cvae_P13_L1e-06,0,predicative,20,person,0.23342210054397583
cvae_P13_L1e-06,0,predicative,21,sick,0.22640812397003174
cvae_P13_L1e-06,0,predicative,22,sister,0.20809565484523773
cvae_P13_L1e-06,0,predicative,23,lucky,0.20324201881885529
cvae_P13_L1e-06,0,predicative,24,alone,0.19850872457027435
cvae_P13_L1e-06,0,predicative,25,pregnant,0.19586843252182007
cvae_P13_L1e-06,0,predicative,26,close,0.1870543360710144
cvae_P13_L1e-06,0,predicative,27,nervous,0.18469886481761932
cvae_P13_L1e-06,0,predicative,28,part,0.18089324235916138
cvae_P13_L1e-06,0,predicative,29,asleep,0.17334529757499695
cvae_P13_L1e-06,0,predicative,30,daughter,0.1435409039258957
cvae_P13_L1e-06,0,predicative,31,man,0.13828003406524658
cvae_P13_L1e-06,0,predicative,32,proud,0.12102992087602615
cvae_P13_L1e-06,0,predicative,33,hungry,0.11574242264032364
cvae_P13_L1e-06,0,predicative,34,free,0.1135452464222908
cvae_P13_L1e-06,0,predicative,35,friend,0.10513870418071747
cvae_P13_L1e-06,0,predicative,36,wrong,0.10460422933101654
cvae_P13_L1e-06,0,predicative,37,scared,0.07921046018600464
cvae_P13_L1e-06,0,predicative,38,awake,0.06218692660331726
cvae_P13_L1e-06,0,predicative,39,determined,0.05798599496483803
cvae_P13_L1e-06,0,predicative,40,well,0.05298727750778198
cvae_P13_L1e-06,0,predicative,41,servant,0.04762812703847885
cvae_P13_L1e-06,0,predicative,42,wife,0.046969398856163025
cvae_P13_L1e-06,0,predicative,43,interested,0.0463450588285923
cvae_P13_L1e-06,0,predicative,44,ill,0.03888806700706482
cvae_P13_L1e-06,0,predicative,45,anxious,0.03805887699127197
cvae_P13_L1e-06,0,predicative,46,upset,0.03604768216609955
cvae_P13_L1e-06,0,predicative,47,teacher,0.03540409356355667
cvae_P13_L1e-06,0,predicative,48,kind,0.032019127160310745
cvae_P13_L1e-06,0,predicative,49,overwhelmed,0.029212838038802147
cvae_P13_L1e-06,0,predicative,50,ﬁne,0.027401242405176163
cvae_P13_L1e-06,1,agent,1,said,1.2198528051376343
cvae_P13_L1e-06,1,agent,2,had,0.8231739401817322
cvae_P13_L1e-06,1,agent,3,looked,0.7323954105377197
cvae_P13_L1e-06,1,agent,4,know,0.7288469076156616
cvae_P13_L1e-06,1,agent,5,asked,0.6767675876617432
cvae_P13_L1e-06,1,agent,6,have,0.6511115431785583
cvae_P13_L1e-06,1,agent,7,thought,0.6333534717559814
cvae_P13_L1e-06,1,agent,8,felt,0.6072266697883606
cvae_P13_L1e-06,1,agent,9,wanted,0.5864891409873962
cvae_P13_L1e-06,1,agent,10,saw,0.5825868844985962
cvae_P13_L1e-06,1,agent,11,want,0.5155435800552368
cvae_P13_L1e-06,1,agent,12,came,0.5039634108543396
cvae_P13_L1e-06,1,agent,13,see,0.49064183235168457
cvae_P13_L1e-06,1,agent,14,think,0.47065457701683044
cvae_P13_L1e-06,1,agent,15,put,0.45480823516845703
cvae_P13_L1e-06,1,agent,16,do,0.44642066955566406
cvae_P13_L1e-06,1,agent,17,sat,0.44464653730392456
cvae_P13_L1e-06,1,agent,18,left,0.43439772725105286
cvae_P13_L1e-06,1,agent,19,feel,0.43316251039505005
cvae_P13_L1e-06,1,agent,20,tell,0.4215754568576813
cvae_P13_L1e-06,1,agent,21,say,0.4152590036392212
cvae_P13_L1e-06,1,agent,22,going,0.41325533390045166
