model,persona,role,rank,word,weight
cvae_P14_L1e-06,0,agent,1,said,1.1844086647033691
cvae_P14_L1e-06,0,agent,2,had,0.788054883480072
cvae_P14_L1e-06,0,agent,3,looked,0.7204070687294006
cvae_P14_L1e-06,0,agent,4,asked,0.7101070284843445
cvae_P14_L1e-06,0,agent,5,know,0.6741864681243896
cvae_P14_L1e-06,0,agent,6,saw,0.6050721406936646
cvae_P14_L1e-06,0,agent,7,have,0.5963572859764099
cvae_P14_L1e-06,0,agent,8,felt,0.579364001750946
cvae_P14_L1e-06,0,agent,9,thought,0.5786877274513245
cvae_P14_L1e-06,0,agent,10,wanted,0.5487446784973145
cvae_P14_L1e-06,0,agent,11,want,0.5206108689308167
cvae_P14_L1e-06,0,agent,12,think,0.514175534248352
cvae_P14_L1e-06,0,agent,13,came,0.502581000328064
cvae_P14_L1e-06,0,agent,14,see,0.4904888868331909
cvae_P14_L1e-06,0,agent,15,got,0.4520144760608673
cvae_P14_L1e-06,0,agent,16,put,0.45053333044052124
cvae_P14_L1e-06,0,agent,17,sat,0.44888874888420105
cvae_P14_L1e-06,0,agent,18,do,0.4382074773311615
cvae_P14_L1e-06,0,agent,19,feel,0.4377909004688263
cvae_P14_L1e-06,0,agent,20,going,0.4206105172634125
cvae_P14_L1e-06,0,agent,21,say,0.4186904728412628
cvae_P14_L1e-06,0,agent,22,come,0.40778422355651855
cvae_P14_L1e-06,0,agent,23,go,0.38740935921669006
cvae_P14_L1e-06,0,agent,24,stood,0.38667818903923035
cvae_P14_L1e-06,0,agent,25,left,0.38449814915657043
cvae_P14_L1e-06,0,agent,26,tell,0.36312565207481384
cvae_P14_L1e-06,0,agent,27,let,0.3306451141834259
cvae_P14_L1e-06,0,agent,28,take,0.33048224449157715
cvae_P14_L1e-06,0,agent,29,get,0.31889379024505615
cvae_P14_L1e-06,0,agent,30,remember,0.3061912953853607
cvae_P14_L1e-06,0,agent,31,like,0.3036605715751648
cvae_P14_L1e-06,0,agent,32,understand,0.2993268072605133
cvae_P14_L1e-06,0,agent,33,hear,0.27824845910072327
cvae_P14_L1e-06,0,agent,34,need,0.27484193444252014
cvae_P14_L1e-06,0,agent,35,look,0.2645036578178406
cvae_P14_L1e-06,0,agent,36,read,0.2538667619228363
cvae_P14_L1e-06,0,agent,37,help,0.2446516454219818
cvae_P14_L1e-06,0,agent,38,spoke,0.21741142868995667
cvae_P14_L1e-06,0,agent,39,find,0.2142600268125534
cvae_P14_L1e-06,0,agent,40,make,0.21287164092063904
cvae_P14_L1e-06,0,agent,41,arrived,0.21215568482875824
cvae_P14_L1e-06,0,agent,42,become,0.21021007001399994
cvae_P14_L1e-06,0,agent,43,love,0.2058466523885727
cvae_P14_L1e-06,0,agent,44,try,0.19389422237873077
cvae_P14_L1e-06,0,agent,45,mean,0.18900057673454285
cvae_P14_L1e-06,0,agent,46,believe,0.18456275761127472
cvae_P14_L1e-06,0,agent,47,ask,0.18385344743728638
cvae_P14_L1e-06,0,agent,48,lay,0.18142908811569214
cvae_P14_L1e-06,0,agent,49,give,0.15604715049266815
cvae_P14_L1e-06,0,agent,50,doing,0.1544555425643921
cvae_P14_L1e-06,0,patient,1,tell,0.8662839531898499
cvae_P14_L1e-06,0,patient,2,see,0.777027428150177
cvae_P14_L1e-06,0,patient,3,asked,0.7082207798957825
cvae_P14_L1e-06,0,patient,4,take,0.5655303597450256
cvae_P14_L1e-06,0,patient,5,saw,0.5256314277648926
cvae_P14_L1e-06,0,patient,6,ask,0.5050870776176453
cvae_P14_L1e-06,0,patient,7,help,0.48497259616851807
cvae_P14_L1e-06,0,patient,8,put,0.47928717732429504
cvae_P14_L1e-06,0,patient,9,love,0.4638175070285797
cvae_P14_L1e-06,0,patient,10,thank,0.4616301357746124
cvae_P14_L1e-06,0,patient,11,find,0.4412592351436615
cvae_P14_L1e-06,0,patient,12,keep,0.42462483048439026
cvae_P14_L1e-06,0,patient,13,know,0.42202338576316833
cvae_P14_L1e-06,0,patient,14,left,0.41320881247520447
cvae_P14_L1e-06,0,patient,15,get,0.3870658576488495
cvae_P14_L1e-06,0,patient,16,call,0.3685794770717621
cvae_P14_L1e-06,0,patient,17,watching,0.3155387043952942
cvae_P14_L1e-06,0,patient,18,meet,0.31469088792800903
cvae_P14_L1e-06,0,patient,19,leave,0.3023611307144165
cvae_P14_L1e-06,0,patient,20,married,0.28658515214920044
cvae_P14_L1e-06,0,patient,21,hurt,0.27665606141090393
cvae_P14_L1e-06,0,patient,22,gone,0.2686895728111267
cvae_P14_L1e-06,0,patient,23,bring,0.24821798503398895
cvae_P14_L1e-06,0,patient,24,stop,0.24207791686058044
cvae_P14_L1e-06,0,patient,25,asking,0.23796464502811432
cvae_P14_L1e-06,0,patient,26,visit,0.22325168550014496
cvae_P14_L1e-06,0,patient,27,leaving,0.2219289243221283
cvae_P14_L1e-06,0,patient,28,remind,0.20654717087745667
cvae_P14_L1e-06,0,patient,29,kill,0.20334617793560028
cvae_P14_L1e-06,0,patient,30,join,0.17145635187625885
cvae_P14_L1e-06,0,patient,31,kiss,0.1595572531223297
cvae_P14_L1e-06,0,patient,32,protect,0.14773844182491302
cvae_P14_L1e-06,0,patient,33,believe,0.14369168877601624
cvae_P14_L1e-06,0,patient,34,pull,0.1422407627105713
cvae_P14_L1e-06,0,patient,35,teach,0.13457027077674866
cvae_P14_L1e-06,0,patient,36,let,0.1330118030309677
cvae_P14_L1e-06,0,patient,37,hold,0.1229240894317627
cvae_P14_L1e-06,0,patient,38,force,0.11931478977203369
cvae_P14_L1e-06,0,patient,39,throw,0.11931175738573074
cvae_P14_L1e-06,0,patient,40,show,0.11380655318498611
cvae_P14_L1e-06,0,patient,41,touch,0.11356319487094879
cvae_P14_L1e-06,0,patient,42,hear,0.11324197053909302
cvae_P14_L1e-06,0,patient,43,give,0.11295727640390396
cvae_P14_L1e-06,0,patient,44,trust,0.10572607815265656
cvae_P14_L1e-06,0,patient,45,remember,0.1004306897521019
cvae_P14_L1e-06,0,patient,46,treat,0.09145854413509369
cvae_P14_L1e-06,0,patient,47,watch,0.08505624532699585
