word,cluster_id
plop,59
punch,6
resist,16
reveal,35
scratch,6
setting,33
shame,2
spank,4
strike,30
tap,59
test,20
tickle,15
trip,30
untie,37
walking,22
wanna,4
woo,21
wrap,33
ﬂung,44
bent,6
pardon,17
redirect,30
travel,30
amuse,15
induce,37
deny,4
divert,30
assemble,63
challenge,20
compose,57
detest,5
discourage,24
discover,35
failing,20
maneuver,6
reattach,37
reconcile,45
refuse,4
repair,37
teasing,44
torment,2
survive,16
retrieve,29
accept,41
board,20
enroll,30
expel,41
fix,37
shielding,19
rape,17
stung,31
charge,20
denunciate,20
lull,18
compensate,37
purge,37
resent,5
imagining,35
interrogate,8
fault,6
console,18
detach,37
hand,6
ready,4
recruit,30
reward,28
salvage,37
underestimate,45
win,54
lent,28
recall,56
reject,41
break,33
degrade,61
lend,28
desert,18
prompt,20
standing,22
swamp,18
taste,44
yellow,22
associate,20
beckon,35
brush,44
cocoon,18
elude,38
fail,4
hustle,22
jolt,18
needle,6
opening,33
serenade,44
sink,59
bandage,43
