word,cluster
aaron,184
aat,95
abandon,134
abdomen,21
abduct,187
abduction,20
abductor,187
abhor,247
abide,129
ability,6
abruptness,94
absence,21
absolve,104
absorb,88
absorption,196
abuse,18
accent,236
accept,126
access,177
accessory,42
accident,161
acclimate,52
accommodate,20
accommodation,89
accompany,183
accomplice,118
accomplish,21
accomplishment,21
accost,1
account,3
accusation,20
accuse,46
accuser,155
accusing,46
accustom,45
ace,236
ache,134
achieve,126
achievement,51
acknowledge,20
acquaintance,20
acquire,195
acquisition,37
acquit,208
act,30
acting,8
action,243
activate,55
activity,243
actress,75
ad,237
adam,184
add,86
addiction,183
addition,146
address,33
adhere,6
adjust,46
adler,183
administer,195
admiration,35
admire,126
admit,119
admonish,27
adolescence,105
adopt,20
adore,41
adorn,41
adrenaline,137
adult,30
advance,101
advantage,31
adventure,156
adventurous,156
advertise,155
advertisement,161
advice,135
advise,96
advisor,73
advocate,73
afecte,45
afection,45
affair,96
affect,6
affection,35
afford,49
affront,83
aford,83
afraid,42
afternoon,105
agape,45
age,161
agenda,96
agent,22
aggression,119
aggressive,136
agitate,27
agitation,89
agonize,45
agony,134
agree,43
agreement,119
aicke,252
aid,3
aim,183
ainche,29
aisle,42
alarm,137
album,209
alcohol,18
alcove,189
alert,165
algebra,80
alibi,45
alice,78
alight,45
allergy,95
alley,0
alleyway,77
alliance,243
allow,126
allowance,89
ally,184
alone,167
along,236
aloofness,10
aloud,236
altar,237
alter,147
alternate,135
amah,197
amaze,197
amazement,137
amazing,125
ambition,136
ambivalence,127
amend,147
american,251
ammunition,89
amount,6
amuse,129
amusement,28
amusing,153
analysis,150
analyst,73
analyze,6
ancestor,88
ancestry,161
anger,242
angle,33
angriest,45
angry,242
anguish,214
animation,80
ankle,82
announce,195
annoy,41
annoyance,88
answer,22
antic,95
anticipate,27
anus,45
anxiety,14
anxious,153
apartment,13
apathy,34
ape,3
apologise,208
apologize,153
apology,153
appal,83
appeal,96
appear,126
appearance,179
appetite,186
apple,97
application,161
apply,101
appointment,161
appraisal,39
appraise,98
appreciate,88
appreciation,146
apprentice,13
approach,243
approval,119
approve,43
approximation,150
apron,241
aptitude,10
arch,237
archer,184
arena,148
argue,126
argument,46
arm,82
armband,47
armoire,178
armor,89
armory,237
armpit,246
arouse,41
arrange,255
arrest,122
arrival,40
arrive,126
arrived,40
arse,95
art,99
article,109
articulate,44
artist,80
artwork,146
ascend,154
ascent,105
ash,184
ashamed,153
ask,103
asked,236
asking,236
