word,cluster
brilliance,116
bring,377
bristle,238
british,1
broach,297
broaden,211
broil,328
brokenhearte,18
brood,162
brooding,218
brotgewürz,18
broth,26
brother,162
brow,196
browse,157
bruise,117
brush,82
brushstroke,391
bubble,79
buck,445
bucket,506
buckle,82
bud,214
buddy,136
buffet,332
bug,176
build,401
building,137
bullet,196
bully,73
bump,106
bun,331
bundle,82
bunk,62
bunkmate,136
buoy,474
burden,257
burial,96
burn,82
burning,429
burp,312
burrow,336
burst,445
bury,82
business,289
bustle,429
busy,398
butt,149
butter,26
butterfly,214
buttock,196
button,504
buy,289
buzz,221
bypass,445
cab,161
cabin,137
cabinet,137
cable,18
cache,137
cackle,43
café,124
cage,504
cajole,50
cake,386
calculate,424
calf,117
call,343
calligraphy,30
calm,468
calyx,375
came,164
camera,339
camisole,141
camp,18
campaign,18
can,266
cancel,121
candidate,18
candor,110
candy,477
cane,504
canine,38
canvas,391
cap,18
capacity,18
cape,185
capital,479
cappuccino,386
captain,318
captivate,34
captivity,376
captor,89
capture,367
car,161
card,18
care,18
career,318
careful,237
carelessness,143
caress,78
carp,177
carpet,95
carriage,161
carriagemate,18
carrot,22
carry,377
cart,161
carve,82
case,437
casket,86
cassoulet,26
cast,18
castle,422
casual,398
cat,507
catalog,40
catalogue,40
catch,14
catchphrase,120
cater,367
catty,365
cause,74
caution,237
cautious,237
cave,429
cavern,429
cd,1
cease,121
ceiling,242
ceilingward,18
celebrate,41
cell,497
cello,70
cement,429
center,137
centimeter,429
cereal,22
ceremony,415
certificate,437
certiﬁcate,18
chablis,210
chagrin,111
chain,124
chair,394
chairman,394
chaise,62
challenge,18
champagne,181
champion,9
chance,489
change,402
channel,18
chant,387
chap,89
chaperon,136
chaperone,136
character,498
characteristic,218
charcoal,395
charge,18
charm,296
chart,40
chase,480
chasing,480
chastise,500
chat,29
chatter,133
cheat,365
check,40
checkerboard,395
checklist,40
cheek,196
cheekbone,117
cheer,452
cheerfulness,264
chef,148
chemise,335
cheongsam,319
cherish,371
chest,196
chew,93
chic,335
chick,149
chickene,18
chide,500
chief,394
child,162
childhood,209
chill,232
chime,78
chin,196
chinese,1
chineseness,393
chip,318
chocolate,477
choice,18
choke,174
chomp,93
choose,367
chop,82
chopstick,456
chore,489
chortle,43
christmas,1
chuck,82
chuckle,43
church,137
churchgoing,393
churn,82
cigarette,249
circle,504
circuit,18
circulate,377
circulation,18
circumstance,393
cite,240
citizenship,222
city,442
cityscape,391
clack,19
claim,240
clamber,480
clamor,238
clamp,109
clap,452
clarify,424
clarity,172
clasp,504
class,18
classic,398
classmate,136
classroom,184
clavicle,61
claw,82
clawing,300
clean,18
cleanse,310
clear,18
cleavage,212
cleaver,98
clench,384
clever,398
cleverness,296
click,40
client,508
climax,218
climb,106
cling,82
clinic,59
clink,78
clip,40
clipboard,112
clock,318
close,18
closeness,453
closet,503
cloth,335
clothe,335
clothilde,430
clothing,335
cloud,429
club,18
cluck,78
clue,489
clump,375
clumsy,218
clung,164
clusburtson,18
clutch,318
clutched,24
coach,318
coat,185
coax,50
cock,149
cocktail,210
cocoon,429
coddle,388
code,40
coerce,73
cofee,430
coffee,210
coffin,86
coin,181
cola,210
collaborate,201
collapse,374
collar,185
collarbone,61
colleague,136
collect,367
collection,30
collide,315
collude,73
colonize,159
color,395
coloring,391
comatose,122
comb,338
combat,101
combing,338
come,377
comfort,255
comfortable,468
comforter,62
coming,377
command,18
commend,21
comment,448
commission,437
commit,367
commitment,453
commodity,289
commotion,257
communicate,201
communiqué,437
communist,195
companion,136
company,289
compare,424
compartment,194
compatriot,305
compel,45
compendium,40
compensate,367
compete,367
competence,172
compile,424
complain,238
complaint,437
complement,367
complete,377
complex,18
complexion,165
complexity,257
compliment,398
comply,321
compose,285
composure,463
comprehend,231
compromise,13
computer,216
comrade,136
conceal,287
concede,81
conceive,231
concentrate,449
concentration,18
concern,134
concerned,134
conciliatory,237
conclude,240
conclusion,146
concubine,314
concur,240
condition,18
confer,367
confess,81
confession,243
confide,365
confidence,221
confine,333
confirm,173
confound,125
confront,280
confrontation,491
confuse,55
confused,357
confusion,257
congratulate,21
congratulation,21
connect,201
connection,13
connoisseur,398
conquer,4
conscience,393
conscious,357
consciousness,393
consent,437
conserve,401
consider,297
consist,74
consolation,9
console,364
consolidate,6
constant,18
constipate,18
constitute,74
constitution,195
consult,27
consultant,394
consume,93
contact,27
contain,74
contemplate,297
contemporary,30
content,40
continue,377
contort,459
contract,289
contraction,79
contradict,402
contradiction,218
contribute,367
contribution,13
contrive,388
control,18
convalescence,248
convenience,18
conversation,491
converse,201
convert,401
convey,285
conviction,183
convince,45
conﬁde,18
conﬁdence,18
conﬁne,18
conﬁrme,18
coo,78
cook,148
cooking,148
cool,232
coolie,430
coolness,110
cooperate,367
cooperation,13
cop,89
cope,220
copper,324
copy,40
copybook,318
cordone,18
core,18
corner,318
correct,27
correspondence,437
corrupt,105
corruption,105
cosmetic,493
cost,289
costar,326
costume,212
cot,62
coterie,393
couch,62
cough,78
could,266
counsel,484
counselor,394
count,18
counter,333
countersignature,437
counting,18
country,18
countryman,305
coupon,479
courage,172
couriere,18
course,18
court,437
courtesy,18
courtyard,242
cousin,162
cover,377
coverall,335
cowardice,143
cower,334
coworker,136
coy,237
coﬀee,18
crack,109
cradle,504
craft,18
cram,82
crane,474
crash,243
crave,41
crawl,336
crazy,489
cream,341
create,401
creation,13
creature,176
credit,479
creep,345
crib,62
crime,243
criminal,243
crimson,395
cringe,256
cripple,225
crisscross,429
critic,394
criticism,203
criticize,500
critique,218
croak,78
crook,89
cross,318
crotch,196
crouch,480
crow,176
crown,9
cruelty,147
crumble,487
crumple,24
crumpled,24
crusade,393
crush,4
crust,26
crutch,504
cruzin,430
cry,239
crying,239
cubby,137
cuddle,275
cue,78
cuff,504
cultivate,159
culture,87
cunt,149
cup,181
cups,181
curb,17
cure,393
curfew,234
curiosity,221
curiously,218
curl,384
currency,425
curriculum,250
curse,393
curt,218
curtain,242
curtsy,156
curve,504
custom,18
customer,508
customize,367
customline,18
cut,82
cuticle,151
cv,64
cycle,18
cycling,161
dab,384
dabble,388
dad,271
daddy,271
dagger,98
damage,404
damn,149
dampen,119
dance,284
dancer,284
dancing,284
dangle,82
dare,388
dares,266
daring,172
darling,398
dart,480
dash,445
date,18
daub,395
daughter,162
dawdle,300
day,306
daybe,18
daydream,431
daze,66
dazzle,34
deaate,18
dead,243
deal,289
dealer,124
dean,299
dear,393
death,243
deathbed,393
debate,491
debt,479
decade,306
decamp,418
decant,445
decare,18
deceive,55
deception,143
decide,297
decision,437
declaration,437
declare,81
decline,79
dedicate,433
dedication,453
deed,442
deem,240
deepen,6
defeat,167
defect,2
defend,7
defender,318
defense,318
defiance,39
defile,365
define,3
deflate,333
deflect,333
defloration,18
deflower,365
deformity,316
defy,280
degrade,390
degree,299
delay,121
delete,308
deliberate,218
delight,72
delirium,311
deliver,367
delivery,18
delve,424
demand,289
demean,200
demeanor,90
demise,374
democracy,195
demon,393
demonstrate,3
demur,388
den,137
denial,437
denounce,500
denunciate,18
deny,240
depart,215
department,508
departure,215
depend,278
dependence,57
depict,285
deport,369
deposit,479
depress,225
depressed,357
deprive,225
descend,480
descent,510
describe,285
description,40
desert,429
deserve,388
design,493
desire,411
desk,137
deskmate,430
despair,311
despaired,357
desperation,311
despise,469
despondency,311
destination,193
destine,393
destiny,5
destroy,174
destruction,404
detach,82
detachment,218
detain,15
detect,421
deter,49
determination,172
determine,424
determined,18
detest,469
detonate,315
detour,193
devastate,225
devastation,404
